IMPORTANT :

This document is based on the standard data model of Sage X3 and may contain errors as it is an AI translation from images.
Throughout the document, tables are generally represented in the form XXX - YYYYYYYYYY where XXX is the abbreviated code of the table and YYYYYYYYYY is the actual code of the table in the database.
For fields, sometimes the notation AAAA: BBBBBBBBBB is used, where AAAA indicates the index code and BBBBBBBBBB indicates the field code.

This document, though assisted by AI, bears the mark of Guillaume Clément's passionate dedication, which spanned countless hours.

# COMMON DATA 1 - COMPANY AND SITES

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
SQH - SQUOTE | Quote header | SQH0: SQHNUM | CPY | CPY - COMPANY | Company | CPY0: CPY
TPT - TABPAYTERM | Payment term table | TPT0: PTE + LEG + PTELEN | PTE | TDA - TABDEPAGIO | Early discount/late charge table | TDA0: DEP + LEG
TUN - TABUNIT | Table of units of measure | TUN0: UOM | UOM | ITM - ITMMASTER | Products | ITM0: ITMREF
TVT - TABVAT | Tax code table | TVT0: VAT + LEG | VAT | CAL - CPTANALIN | Analytical accounting lines | CAL0: ABRFIC + VCRTPY + VRNUM + VCRSEQ + CPLCLE + ANLIG
ITS - ITMSALES | Products - sales | ITS0: ITMREF | ITMREF | ITM - ITMMASTER | Products | ITM0: ITMREF
ITS - ITMSALES | Products - sales | ITS0: ITMREF | ITMREF | CPY - COMPANY | Company | CPY0: CPY

# SALES 2 - NORMAL SALES ORDER

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
BPD - BPDLVCUST | Ship-to customer | BPD0: BPCNUM + BPRADD | BPCORD | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
BPD - BPDLVCUST | Ship-to customer | BPD0: BPCNUM + BPRADD | BPRADD | None | None | None
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCNUM | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCORD | BPD - BPDLVCUST | Ship-to customer | BPD0: BPCNUM + BPRADD
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCNUM | VOH - VSORDER | Sales order history - header | VOH0: SONNUM
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCNUM | PRS - PRICSTRUCT | Price structure (cust/supp) | PRS0: PRSNUM
CPY - COMPANY | Company | CPY0: CPY | CPY | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
CPY - COMPANY | Company | CPY0: CPY | CPY | TMD - TABMDELIV | Delivery methods | TMD0: MDL
CPY - COMPANY | Company | CPY0: CPY | CPY | ITS - ITMSALES | Products - sales | ITS0: ITMREF
DIE - GDIE | Dimension types | DIE0: DIE | DIE | CCE - CACCAGE | Dimensions | CCE0: DIE + CCE
PRS - PRICSTRUCT | Price structure (cust/supp) | PRS0: PRSNUM | PRSNUM | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
REP - SALESP | Sales rep | REP0: REPNUM | REPNUM | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
REP - SALESP | Sales rep | REP0: REPNUM | REPNUM | TMD - TABMDELIV | Delivery methods | TMD0: MDL
REP - SALESP | Sales rep | REP0: REPNUM | REPNUM | FCY - FACILITY | Sites | FCY0: FCY
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | SOQ - SORDERQ | Sales orders - quantities | SOQ0: SONNUM + SQLIN
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | SOP - SORDERP | Sales orders - prices | SOP0: SONNUM
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | TSO - TABSOHTYP | Order type table | TSO0: SOHTYP
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | VOH - VSORDER | Sales order history - header | VOH0: SONNUM
SQD - SQUOTED | Quote detail | SQD0: SQHNUM + SQLIN | SQHNUM | SQH - SQUOTE | Quote header | SQH0: SQHNUM
SQD - SQUOTED | Quote detail | SQD0: SQHNUM + SQLIN | None | None | None | None
TCU - TABCUR | Currency table | TCU0: CUR | CUR | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
TCU - TABCUR | Currency table | TCU0: CUR | CUR | SVF - SVCFOOT | Sales document footer el. | SVF0: VCRNUM + VCRTPY + DTA
TDA - TABDEPAGIO | Early discount/late charge table | TDA0: DEP + LEG | DEP | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
TMD - TABMDELIV | Delivery methods | TMD0: MDL | MDL | REP - SALESP | Sales rep | REP0: REPNUM
TMD - TABMDELIV | Delivery methods | TMD0: MDL | MDL | SoH - SORDER | Sales orders - header | SOH0: SONNUM
TPT - TABPAYTERM | Payment term table | TPT0: PTE + LEG + PTELEN | PTE | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
TPA - TABPACKAGE | Packaging table | TPA0: PCK | PCK | ITS - ITMSALES | Products - sales | ITS0: ITMREF
TUN - TABUNIT | Table of units of measure | TUN0: UOM | UOM | ITM - ITMMASTER | Products | ITM0: ITMREF
BPT - BPCARRIER | Carriers | BPT0: BPTNUM | BPTNUM | TPT - TABPAYTERM | Payment term table | TPT0: PTE + LEG + PTELEN
POH - PORDER | POs | POH0: POHNUM | POHNUM | ADI - ATABDIV | Miscellaneous tables | ADI0: NUMTAB + CODE
POH - PORDER | POs | POH0: POHNUM | None | None | None | None
TDA - TABDEPAGIO | Early discount/late charge table | TDA0: DEP + LEG | DEP + LEG | TPT - TABPAYTERM | Payment term table | TPT0: PTE + LEG + PTELEN
TSO - TABSOHTYP | Order type table | TSO0: SOHTYP + LEG | SOHTYP | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
VOH - VSORDER | Sales order history - header | VOH0: SONNUM | SONNUM | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
VOH - VSORDER | Sales order history - header | VOH0: SONNUM | SONNUM | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
CCE - CACCAGE | Dimensions | CCE0: DIE + CCE | DIE | DIE - GDIE | Dimension types | DIE0: DIE
FCY - FACILITY | Sites | FCY0: FCY | FCY | REP - SALESP | Sales rep | REP0: REPNUM
SOQ - SORDERQ | Sales orders - quantities | SOQ0: SONNUM + SQLIN | SONNUM | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
SOQ - SORDERQ | Sales orders - quantities | SOQ0: SONNUM + SQLIN | None | None | None | None
SOP - SORDERP | Sales orders - prices | SOP0: SONNUM | SONNUM | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
SOP - SORDERP | Sales orders - prices | SOP0: SONNUM | None | None | None | None
TVT - TABVAT | Tax code table | TVT0: VAT + LEG | VAT | CAL - CPTANALIN | Analytical accounting lines | CAL0: ABRFIC + VCRTPY + VRNUM + VCRSEQ + CPLCLE + ANLIG
SQH - SQUOTE | Quote header | SQH0: SQHNUM | SQHNUM | SQD - SQUOTED | Quote detail | SQD0: SQHNUM + SQLIN
SQH - SQUOTE | Quote header | SQH0: SQHNUM | None | None | None | None
TPT - TABPAYTERM | Payment term table | TPT0: PTE + LEG + PTELEN | PTE + LEG + PTELEN | TDA - TABDEPAGIO | Early discount/late charge table | TDA0: DEP + LEG
POQ - PORDERQ | POs quantities | POQ0: POHNUM + POPLIN + POSEQ | POHNUM | POH - PORDER | POs | POH0: POHNUM
POQ - PORDERQ | POs quantities | POQ0: POHNUM + POPLIN + POSEQ | None | None | None | None
MFI - MFGITM | Work orders - products | MFI0: MFGNUM | MFGNUM | None | None | None
SDD - SDELIVRD | Delivery detail | SDD0: SDHNUM + SDLIN | SDHNUM | SID - SINVOCED | Sales invoices | SID0: SIVNUM + SDLIN
SDD - SDELIVRD | Delivery detail | SDD0: SDHNUM + SDLIN | None | None | None | None
PRH - PRDPREH | Pick ticket header | PRH0: PRHNUM | PRHNUM | None | None | None
SID - SINVOCED | Bill of sale | SID0: SIVNUM + SDLIN | SIVNUM + SDLIN | SDD - SDELIVRD | Delivery detail | SDD0: SDHNUM + SDLIN
SID - SINVOCED | Bill of sale | SID0: SIVNUM + SDLIN | None | None | None | None
TMD - TABMDELIV | Delivery methods | TMD0: MDL | MDL | REP - SALESP | Sales rep | REP0: REPNUM
TPA - TABPACKAGE | Packaging table | TPA0: PCK | PCK | ITS - ITMSALES | Products - sales | ITS0: ITMREF

# SALES 3 - CUMULATIVE SALES ORDER

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | SOC - SORDERC | Sales orders - early/late | SOCO: SCHNUM + SOLIN
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | VOH - VSORDER | Sales order history - header | VOH0: SCHNUM + REVNUM
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | SOQ - SORDERQ | Sales orders - quantities | SOQ0: SCHNUM + SQLIN
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | SOP - SORDERP | Sales orders - prices | SOP0: SCHNUM + SOPLIN
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | None | CPY - COMPANY | Company | CPY0: CPY
SOH - SORDER | Sales orders - header | SOH0: SCHNUM | SCHNUM | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
SOC - SORDERC | Sales orders - early/late | SOCO: SCHNUM + SOLIN | SCHNUM + SOLIN | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
SOC - SORDERC | Sales orders - early/late | SOCO: SCHNUM + SOLIN | None | None | None | None
SOQ - SORDERQ | Sales orders - quantities | SOQ0: SCHNUM + SQLIN | SCHNUM + SQLIN | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
SOQ - SORDERQ | Sales orders - quantities | SOQ0: SCHNUM + SQLIN | None | None | None | None
SOP - SORDERP | Sales orders - prices | SOP0: SCHNUM + SOPLIN | SCHNUM + SOPLIN | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
SOP - SORDERP | Sales orders - prices | SOP0: SCHNUM + SOPLIN | None | None | None | None
ITS - ITMSALES | Products - sales | ITS0: ITMREF | ITMREF | None | None | None
VOH - VSORDER | Sales order history - header | VOH0: SCHNUM + REVNUM | SCHNUM + REVNUM | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
VOH - VSORDER | Sales order history - header | VOH0: SCHNUM + REVNUM | None | None | None | None
POH - PORDER | POs | POH0: POHNUM | POHNUM | None | None | None
POQ - PORDERQ | POs quantities | POQ0: POHNUM + POPLIN + POSEQ | POHNUM | POH - PORDER | POs | POH0: POHNUM
POQ - PORDERQ | POs quantities | POQ0: POHNUM + POPLIN + POSEQ | None | None | None | None
FCY - FACILITY | Sites | FCY0: FCY | FCY | CPY - COMPANY | Company | CPY0: CPY
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCNUM | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | None | None | None | None
CCE - CACCAGE | Dimensions | CCE0: DIE + CCE | DIE + CCE | None | None | None
TPT - TABPAYTERM | Payment term table | TPT0: PTE + LEG + PTELEN | PTE + LEG + PTELEN | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
TSO - TABSOHTYP | Order type table | TSO0: SOHTYP + LEG | SOHTYP + LEG | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
TCU - TABCUR | Currency table | TCU0: CUR | CUR | None | None | None
DUD - GACCDUDATE | Open items | DUD0: TYP + NUM + LIG + DUDLIG | TYP + NUM + LIG + DUDLIG | None | None | None
ADI - ATABDIV | Miscellaneous tables | ADI0: NUMTAB + CODE | NUMTAB + CODE | None | None | None
SPC - SPRICCONF | Customer pricing parameters | SPC0: PLU | PLU | None | None | None
TVT - TABVAT | Tax code table | TVT0: VAT + LEG | VAT + LEG | None | None | None
BPT - BPCARRIER | Carriers | BPT0: BPTNUM | BPTNUM | None | None | None
REP - SALESP | Sales rep | REP0: REPNUM | REPNUM | None | None | None
TUN - TABUNIT | Table of units of measure | TUN0: UOM | UOM | None | None | None
CAL - CPTANALIN | Analytical accounting lines | CAL0: ABRFIC + VCRTPY + VRNUM + VCRSEQ + CPLCLE + ANLIG | ABRFIC + VCRTPY + VRNUM + VCRSEQ + CPLCLE + ANLIG | None | None | None
PRICSTRUCT - PRS | Price structure (cust/supp) | PRS0: BPCDIS + PLISTC | PLISTC | BPD - BPDLVCUST | Ship-to customer | BPD0: BPCNUM + BPRADD
PRICSTRUCT - PRS | Price structure (cust/supp) | PRS0: BPCDIS + PLISTC | BPCDIS | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
TABSOHTYP - TSO | Order type table | TSO0: SOHTYP + LEG | SOHTYP | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
TABPAYTERM - TPT | Payment term table | TPT0: PTE + LEG + PTELEN | PTE | BPD - BPDLVCUST | Ship-to customer | BPD0: BPCNUM + BPRADD
TABPAYTERM - TPT | Payment term table | TPT0: PTE + LEG + PTELEN | PTE | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
VSORDER - VOH | Sales order history - header | VOH0: SCHNUM + REVNUM | SCHNUM | SOH - SORDER | Sales orders - header | SOH0: SCHNUM
VSORDER - VOH | Sales order history - header | VOH0: SCHNUM + REVNUM | SOLIN | VSORDERC - VOC | Cumulative sales order history | VOC0: SONNUM + SOLIN
VSORDERC - VOC | Cumulative sales order history | VOC0: SONNUM + SOLIN | SONNUM | VSORDER - VOH | Sales order history - header | VOH0: SCHNUM + REVNUM
SORDERQ - SOQ | Sales orders - quantities | SOQ0: SCHNUM + SQLIN | SCHNUM | SORDER - SOH | Sales orders - header | SOH0: SCHNUM
SORDERC - SOC | Sales orders - early/late | SOCO: SCHNUM + SOLIN | SCHNUM | SORDER - SOH | Sales orders - header | SOH0: SCHNUM
SORDER - SOH | Sales orders - header | SOH0: SCHNUM | SCHNUM | SORDERC - SOC | Sales orders - early/late | SOCO: SCHNUM + SOLIN
SORDER - SOH | Sales orders - header | SOH0: SCHNUM | SCHNUM | SORDERQ - SOQ | Sales orders - quantities | SOQ0: SCHNUM + SQLIN
SORDER - SOH | Sales orders - header | SOH0: SCHNUM | SCHNUM | TABSOHTYP - TSO | Order type table | TSO0: SOHTYP + LEG
SORDER - SOH | Sales orders - header | SOH0: SCHNUM | SCHNUM | FACILITY - FCY | Sites | FCY0: FCY
SORDER - SOH | Sales orders - header | SOH0: SCHNUM | SCHNUM | COMPANY - CPY | Company | CPY0: CPY
COMPANY - CPY | Company | CPY0: CPY | CPY | FACILITY - FCY | Sites | FCY0: FCY
COMPANY - CPY | Company | CPY0: CPY | CPY | SORDER - SOH | Sales orders - header | SOH0: SCHNUM
FACILITY - FCY | Sites | FCY0: FCY | FCY | COMPANY - CPY | Company | CPY0: CPY
FACILITY - FCY | Sites | FCY0: FCY | FCY | SORDER - SOH | Sales orders - header | SOH0: SCHNUM
BPCUSTOMER - BPC | Customers | BPC0: BPCNUM | BPCNUM | SORDER - SOH | Sales orders - header | SOH0: SCHNUM
BPCUSTOMER - BPC | Customers | BPC0: BPCNUM | BPCNUM | PRICSTRUCT - PRS | Price structure (cust/supp) | PRS0: BPCDIS + PLISTC
BPCUSTOMER - BPC | Customers | BPC0: BPCNUM | BPCNUM | TABPAYTERM - TPT | Payment term table | TPT0: PTE + LEG + PTELEN
BPDLVCUST - BPD | Ship-to customer | BPD0: BPCNUM + BPRADD | BPCNUM | BPCUSTOMER - BPC | Customers | BPC0: BPCNUM
BPDLVCUST - BPD | Ship-to customer | BPD0: BPCNUM + BPRADD | BPRADD | None | None | None
PORDER - POH | POs | POH0: POHNUM | POHNUM | PORDERQ - POQ | POs quantities | POQ0: POHNUM + POPLIN + POSEQ
PORDERQ - POQ | POs quantities | POQ0: POHNUM + POPLIN + POSEQ | POHNUM | PORDER - POH | POs | POH0: POHNUM

# SALES 4 - SALES DELIVERIES

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SDHNUM | SDD - SDELIVERYD | Delivery detail | SDDD: SDHNUM + SDDLN
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SDHNUM | SOH - SORDER | Sales orders - header | SOHD: SOHNUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SDHNUM | BPC - BPCUSTOMER | Customers | BPCD: BPCNUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SDHNUM | BPV - BPVLCUST | Ship-to customer | BPVD: BPCNUM + BPVADD
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SDHNUM | BPV - BPVLST | Customer location | BPVD: STOFCY + STOLOC
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SDHNUM | BPV - BPVLCUST | Ship-to customer | BPVD: BPCNUM + BPVADD
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SDHNUM | BPV - BPARTNER | Business partner | BPVD: BPRNUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | BPRPAY | BPR - BPARTNER | Business partner | BPRD: BPRNUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | BPCORD | BPC - BPCUSTOMER | Customers | BPCD: BPCNUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | BPYORD | BPY - BPVCUST | Ship-to customer | BPYD: BPCNUM + BPVADD
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | TUNUM | TUN - TABUNIT | Table of units of measure | TUND: UOM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | FCYNUM | FCY - FACILITY | Sites | FCYD: FCY
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | REPNUM | REP - SALESREP | Sales rep | REPD: REPNUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | CURNUM | TCU - TABCURC | Currency table | TCUD: CUR
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | CURNUM | SVF - SVCFOOT | Sales document footer el. | SVFD: VCRNUM + VCRTYP + DTA
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SIVNUM | SIV - SIVOICEV | Costing sales invoice | SIVD: NUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SDHNUM | SPD - SPACKD | Delivery package | SPDD: VCRNUM + VCRTYP + PACNUM + PCASEQ
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SDHNUM | SDH - DELIVERY | Delivery header | SDHD: SDHNUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SDHNUM | SDD - SDELIVERYD | Delivery detail | SDDD: SDHNUM + SDDLN
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SDHNUM | SOH - SORDER | Sales orders - header | SOHD: SOHNUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SOHNUM | SOH - SORDER | Sales orders - header | SOHD: SOHNUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | BPCNUM | BPC - BPCUSTOMER | Customers | BPCD: BPCNUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | REPNUM | REP - SALESREP | Sales rep | REPD: REPNUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | TUNUM | TUN - TABUNIT | Table of units of measure | TUND: UOM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | FCYNUM | FCY - FACILITY | Sites | FCYD: FCY
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | CURNUM | TCU - TABCURC | Currency table | TCUD: CUR
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | PTE | TMD - TABMDLV | Delivery methods | TMDD: MDL
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | VCRNUM, VCRTYP | SVF - SVCFOOT | Sales document footer el. | SVFD: VCRNUM + VCRTYP + DTA
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SIVNUM | SIV - SIVOICEV | Costing sales invoice | SIVD: NUM
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | CPCNUM | CPY - COMPANY | Company code | CPYD: CPY
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | CEE | CCE - CACE | Dimensions | CCED: CEE
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | VCRNUM, VCRTYP, PACNUM, PCASEQ | SPD - SPACKD | Delivery package | SPDD: VCRNUM + VCRTYP + PACNUM + PCASEQ
SDH - DELIVERY | Delivery header | SDHD: SDHNUM | SHINUM, SESNUM, SEECHC | SDH - DELIVERY | Delivery header | SDHD: SDHNUM
SOH - SORDER | Sales orders - header | SOHD: SOHNUM | SOHNUM | SDH - DELIVERY | Delivery header | SDHD: SDHNUM
SOH - SORDER | Sales orders - header | SOHD: SOHNUM | SOHNUM | SDD - SDELIVERYD | Delivery detail | SDDD: SDHNUM + SDDLN
SOH - SORDER | Sales orders - header | SOHD: SOHNUM | SOHNUM | SOQ - SORDERQ | Sales orders - quantities | SOQD: SOHNUM + SOLIN + SOQSEQ
SIV - SIVOICEV | Costing sales invoice | SIVD: NUM | NUM | SDH - DELIVERY | Delivery header | SDHD: SDHNUM
BPC - BPCUSTOMER | Customers | BPCD: BPCNUM | BPCNUM | SDH - DELIVERY | Delivery header | SDHD: SDHNUM
REP - SALESREP | Sales rep | REPD: REPNUM | REPNUM | SDH - DELIVERY | Delivery header | SDHD: SDHNUM
TUN - TABUNIT | Table of units of measure | TUND: UOM | UOM | SDH - DELIVERY | Delivery header | SDHD: SDHNUM
FCY - FACILITY | Sites | FCYD: FCY | FCY | SDH - DELIVERY | Delivery header | SDHD: SDHNUM
TCU - TABCURC | Currency table | TCUD: CUR | CUR | SDH - DELIVERY | Delivery header | SDHD: SDHNUM
TMD - TABMDLV | Delivery methods | TMDD: MDL | MDL | SDH - DELIVERY | Delivery header | SDHD: SDHNUM

# SALES 5 - SALES INVOICE

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
STJ - STOJOU | Stock journal | STJ : NUM | STOJOU.NUM = STOJOU.LIN | SDD - SDELIVERYD | Delivery detail | SDD : NUM
SRD - SRETURND | Sales return | SRD : SHNUM | SRE.NUM = SRD.SHNUM | SRE - SEREQUEST | Service request | SRE : NUM
CON - CONTSERV | Service contract | CON : CNUM | CONTSERV.CNUM = CONTSERV.CONNUM | CAL - CATANALIN | Analytical accounting lines | CAL : 0
SOQ - SORDERQ | Sales orders - quantities | SOQ : SOHNUM | SORDERQ.SOHNUM = SORDERQ.SOQSEQ | PID - PINVOICED | Purchase invoice detail | PID : NUM
GAC - GACCOUNT | Accounts | GAC : COA & ACC | GACCOUNT.COA = GACCOUNT.ACC | REP - SALESREP | Sales rep | REP : NUM
SVF - SVCURVAT | Sales document - VAT | SVF : NUM | SVCURVAT.NUM = SVCURVAT.VATNUM | SVI - SINVOICEV | Costing sales invoice | SVI : NUM
SVI - SINVOICEV | Costing sales invoice | SVI : NUM | SINVOICEV.NUM = SINVOICEV.BPCNUM & SINVOICEV.BPADD | BPC - BPCUSTOMER | Customers | BPC : NUM
SID - SINVOICED | Bill of sale detail | SID : NUM & SDLIN | SINVOICED.NUM = SINVOICED.NUM_1 | PIH - PINVOICEH | Purchase invoices | PIH : NUM
BPC - BPCUSTOMER | Customers | BPC : NUM | BPCUSTOMER.NUM = BPCUSTOMER.BPCTYP & BPCUSTOMER.BPCURLED | GLE - GLEDD | Dimension types | GLE : DIE
SRE - SEREQUEST | Service request | SRE : NUM | SEREQUEST.NUM = SEREQUEST.SREFTO & SEREQUEST.ITMREF | ITM - ITMSALES | Products - sales | ITM : ITMREF
FCY - FACILITY | Sites | FCY : FCY | FACILITY.FCY = FACILITY.SALFCY | PIH - PINVOICEH | Purchase invoices | PIH : NUM
ADT - ATADBIV | Miscellaneous tables | ADT : CODE | ATADBIV.CODE = ATADBIV.NUMTAB | TPA - TPATYPE | Payment term | TPA : PTE
FCY - FACILITY | Sites | FCY : FCY | FACILITY.FCY = FACILITY.SALFCY | PRS - PRICSTRUCT | Price structure (cost/supp) | PRS : BPCSTO & BPC
BPC - BPCUSTOMER | Customers | BPC : NUM | BPCUSTOMER.NUM = BPCUSTOMER.BPADD | SIV - SINVOICEV | Costing sales invoice | SIV : NUM
ADI - ATADBIV | Miscellaneous tables | ADI : CODE | ATADBIV.CODE = ATADBIV.TABNAME | TUN - TABUNIT | Table of units of measure | TUN : UOM
SVI - SINVOICEV | Costing sales invoice | SVI : NUM | SINVOICEV.NUM = SINVOICEV.LEG | JOU - GJOURNAL | Journal codes | JOU : JOU
SRE - SEREQUEST | Service request | SRE : NUM | SEREQUEST.NUM = SEREQUEST.TSICOD | TSI - TABTSIV | Customer invoice type | TSI : TSIV
BPR - BPCARRIER | Carriers | BPR : BPTNUM | BPCARRIER.BPTNUM = BPCARRIER.BPRVAT | TCU - TABCUR | Currency table | TCU : CURR
GHU - GACCDH | Header accounting entries | GHU : NUM | GACCDH.NUM = GACCDH.CURLED | CUR - CURRENCY | Currency codes | CUR : LED
BPT - BPCARRIER | Carriers | BPT : BPTNUM | BPCARRIER.BPTNUM = BPCARRIER.BPRPAY | PTY - PTYPACC | Payment types | PTY : PTE
TDA - TABDEPAGIO | Early discount/late charge table | TDA : DEP | TABDEPAGIO.DEP = TABDEPAGIO.LEG | LED - GLED | Dimension types | LED : DIE
DIE - GDIE | Dimension types | DIE : DIE | GDIE.DIE = GDIE.ALIAS | CCE - CACCE | Dimensions | CCE : DIE
SIH - SINVOICE | Sales invoices | SIH : NUM | SINVOICE.NUM = SINVOICE.BPCNUM & SINVOICE.BPADD | BPD - BPDLVCUST | Ship-to customer | BPD : BPCNUM & ADDNUM

# SALES 6 - SALES RETURNS

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
PND - PRETURND | Detail return | PND : PNHNUM & PNDLIN | PRETURND.PNHNUM = PRETURND.PNDLIN | SRD - SRETURND | Sales return detail | SRD : SHNUM & SRDLIN
SDD - SDELIVERYD | Delivery detail | SDD : SDHNUM & SDLIN | SDELIVERYD.SDHNUM = SDELIVERYD.SDLIN | SID - SINVOICED | Bill of sale detail | SID : NUM & SDLIN
SRD - SRETURND | Sales return detail | SRD : SHNUM & SRDLIN | SRETURND.SRDLIN = SRETURND.VCRNUM/VCRDLIN | STJ - STOJOU | Stock journal | STJ : UPMOFCY & UPMNUM & VCRNUM/VCRDLIN
SRH - SRETURN | Sales return header | SRH : SRHNUM | SRETURN.SRHNUM = SRETURN.FFWNUM | FFW - STFORWARD | Forwarding agent | FFW : NUM
ITS - ITMSALES | Products - sales | ITS : ITMREF | ITMSALES.ITMREF = ITMSALES.TSID | TUN - TABUNIT | Table of units of measure | TUN : UOM
FCY - FACILITY | Sites | FCY : FCY | FACILITY.FCY = FACILITY.CPY | CPY - COMPANY | Company | CPY : CPY
STOFCY | STJ : UPMOFCY | STOCK JOURNAL.UPMOFCY = STOCK JOURNAL.STOFCY | FCY - FACILITY | Sites | FCY : FCY
AUS - AUTLIS | Users | AUS : USR | AUTLIS.USR = AUTLIS.CODUSR | PRS - PRICSTRUCT | Price structure (cust/supp) | PRS : BPCSTO & PLISTC
BPC - BPCUSTOMER | Customers | BPC : BPCNUM | BPCUSTOMER.BPCNUM = BPCUSTOMER.BPCORD | BPR - BPPARTNER | Business partner | BPR : BRPNUM
BPD - BPDLVCUST | Ship-to customer | BPD : BPCNUM & BPADD | BPDLVCUST.BPCNUM = BPDLVCUST.BPADD | SRH - SRETURN | Sales return header | SRH : SRHNUM
BPT - BPCARRIER | Carriers | BPT : BPTNUM | BPCARRIER.BPTNUM = BPCARRIER.TRINUM | SRD - SRETURND | Sales return detail | SRD : SHNUM & SRDLIN
ADI - ATADBIV | Miscellaneous tables | ADI : CODE | ATADBIV.CODE = ATADBIV.NUMTAB | DIE - GDIE | Dimension types | DIE : DIE
