    Table  	Table Abbreviation	Key	Description	Duplicates
ATYPELPAR  	ATYLP	ATYLP0	CODTYP+CODLNK+PARCOD	No
ATYPEPRO  	ATYP	ATYP0	COD	No
ATYPERPAR  	ATYRP	ATYRP0	CODTYP+TYPRUL+TRTRUL+PRGRUL+PARCOD	No
ATYPERPAR  	ATYRP	ATYRP1	CODTYP+TYPRUL+TRTRUL+PRGRUL+PARORD	Yes
ATYPERUL  	ATYR	ATYR0	CODTYP+TYPRUL+TRTRUL+PRGRUL	No
AUDITBI  	AUI	AUD0	SEQ	No
AUDITBI  	AUI	AUD1	STA+SEQ	No
AUDITBI  	AUI	AUD2	ADOUSR	Yes
AUDITBI  	AUI	AUD3	STABI+SEQ	No
AUDITH  	AUD	AUD0	SEQ	No
AUDITH  	AUD	AUD1	STA+SEQ	No
AUDITH  	AUD	AUD3	STABI+SEQ	No
AUDITL  	AUL	AUL0	SEQ+COL	No
AUPDATE  	AUPD	AUPD0	UPDSEQ	No
AUPDATE  	AUPD	AUPD1	AFOLDER+UPDTYP+UPDINTREL+UPDSEQ	No
AUPDATELINE  	AUPDL	AUPDL0	UPDSEQ+ACATALOG+UPDLINSEQ	No
AUPDATELINE  	AUPDL	AUPDL1	UPDSEQ+ACATALOG+TYPENT+UPDLINSEQ	No
AUPDATELINE  	AUPDL	AUPDL2	UPDSEQ+TYPENT+UPDLINSEQ	Yes
AUPDATEPATH  	AUPDP	AUPDP0	UPDSEQ+ACATALOG	No
AURL  	AUR	AUR0	CODURL	No
AUSRBPR  	AUB	AUB0	USR+BPR+ROL	No
AUSRSOL  	AUO	AUO0	USR	No
AUSRSTA  	AUA	AUA0	NUM	No
AUSRSTA  	AUA	AUA1	DOSSIER+USR+PER+EVT+ARG1+ARG2	No
AUTILIS  	AUS	CODUSR	USR	No
AUTILIS  	AUS	LOGIN	LOGIN	Yes
AUTILITY  	AUTI	AUTI0	UTICOD	No
AUTILITY  	AUTI	AUTI1	SCRIPT+MODULE	Yes
AVALATT  	AVA	AVA0	CODNUM+SITE+PERIODE+COMP+VALEUR	No
AVALNUM  	AVN	AVN0	CODNUM+SITE+PERIODE+COMP	No
AVARLOC  	AVR	avr-00	TYP+FCT+COD	No
AVIEW  	AVW	AVW0	CODVUE	No
AVIEW  	AVW	AVW1	ABRVUE	Yes
AVIEW  	AVW	AVW2	GRUCFM+CODVUE	Yes
AVIEWB  	AVB	AVB0	CODVUE+TYPDBA	No
AVIEWC  	AVC	AVC0	CODVUE+CODCLE	No
AVIEWC  	AVC	AVC1	CODVUE+NUMLIG+CODCLE	No
AVIEWD  	AVD	AVD0	CODVUE+NUMLIG+FLDVUE	No
AVIEWD  	AVD	AVD1	CODVUE+FLDVUE	No
AVIEWD  	AVD	AVD2	CODTYP+CODVUE+FLDVUE	No
AVIEWE  	AVE	AVE0	CODVUE+OBCTYP+OBCCOD	No
AVIEWE  	AVE	AVE1	OBCTYP+OBCCOD+CODVUE	Yes
AVOCAB  	AVO	AVO0	LAN+VER+TYP+CHP+NUM	No
AVOLUME  	AVL	CODE	VOLUME	No
AWEBSERDES  	AWY	AWY1	PUBLI+GRP+CHP	No
AWEBSERVIC  	AWE	AWE1	PUBLI	No
AWINBOUT  	AWT	AWT0	WIN+NUM+CODBOUT	No
AWINBRO  	AWB	AWB0	WIN	No
AWINDOW  	AWI	AWI0	WIN	No
AWINDOW  	AWI	AWI1	OBJ+WIN	No
AWINDOW  	AWI	AWI2	OBJ+TRN+WIN	No
AWINPAR  	AWP	AWP0	WIN+NUM+NOPAR+PARAM	No
AWRKHISDES  	AWO	AWO0	CHRONO+EMAIL	No
AWRKHISDES  	AWO	AWO1	LNKHTP	Yes
AWRKHISJOI  	AWJ	AWJ0	CHRONO+JOINUM	No
AWRKHISMES  	AWG	AWG0	CHRONO	No
AWRKHISMES  	AWG	AWG1	REFGRP+NUMGRP+CHRONO	No
AWRKHISSUI  	AWS	AWS0	CHRONO+DEST	No
AWRKHISSUI  	AWS	AWS1	NUMORG+CHRONO+DEST	No
AWRKHISSUI  	AWS	AWS2	DEST+CHRONO	No
AWRKHISSUI  	AWS	AWS3	CHRONO+EMAIL	Yes
AWRKHISSUI  	AWS	AWS4	NUMGRP+CHRONO+USRTOP	Yes
AWRKHISSUI  	AWS	AWS5	TYPEVT+CLEOBJ+IDENTGRP+NUMORG+LEVSIG	Yes
AWRKHISSUI  	AWS	AWS6	CODWRK+CODEVT+FLGSIG+DEST	Yes
AWRKLNK  	AWM	AWM0	MODELE	No
AWRKLNK  	AWM	AWM1	CODSTR+MODELE	No
AWRKPAR  	AWA	AWA0	CODE	No
AWRKPAR  	AWA	AWA1	TYPEVT+CODEVT+CODE	No
AWRKPAR  	AWA	AWA2	CATEG+CODE	No
AWRKPARC  	AWC	AWC0	CODE+NUMACT	No
AWRKPARF  	AWF	AWF0	CODE	No
AWRKPARH  	AWH	AWH0	CODE	No
AWRKPARX  	AWX	AWX0	CODE	No
AWRKREG  	AWR	AWR0	CPY+REGLE	No
AWRKREG  	AWR	AWR1	REGLE+CPY	No
AWRKREG  	AWR	AWR2	MODELE+REGLE+CPY	No
AWRKREGVAL  	AWV	AWV0	REGLE+CPY+NUMLIG	No
AWRKTAB  	AWK	AWK0	MODELE+NUMLIG	No
AWRKTRN  	AWW	AWW0	WRKTRN	No
AWRKTRND  	AWD	AWD0	WRKTRN+NUMMSK	No
AWRKUSR  	AWU	AWU0	USER+NUMDEL	No
AWSDL  	AXL	AXL0	CWSDL	No
AWSDL1  	AX1	AX10	CWSDL+TWSDL+NWSDL	No
BADDTER  	BAT	BAT0	BDT+LEG	No
BALAGEEOY  	BGY	BGY0	USR+NUMREQ+CPY+CODBLK+BPR+ACCDAT+DUDDAT+TYP+NUM+DUDLIG	No
BALANA  	BLA	BLA0	LEDTYP+CPY+FCY+FIY+ACC+BPR+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+CUR	No
BALANA  	BLA	BLA1	ACCNUM	No
BALANA  	BLA	BLA2	LEDTYP+CPY+CUR+FCY+ACC+BPR+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+FIY	No
BALANA  	BLA	BLA3	LEDTYP+CUR+FCY+FIY+ACC+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+BPR+CPY	No
BALANCE  	BAL	BAL0	LEDTYP+CPY+FCY+FIY+ACC+BPR+CUR	No
BALANCE  	BAL	BAL1	ACCNUM	No
BALANCE  	BAL	BAL2	LEDTYP+CUR+CPY+FCY+ACC+BPR+FIY	No
BALCONSO  	BLC	BLC0	LEDTYP+GRUGPY+CPYGRU+ACCGRU+BPRGRU+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+CURTRS+CRI	No
BALPRECSL  	BLP	BLP0	LEDTYP+CPY+FCY+FIY+ACC+BPR+CSLFLO+CSLBPR+IDTCCE+CUR	No
BALPRECSL  	BLP	BLP1	ACCNUM	No
BALPRECSL  	BLP	BLP2	LEDTYP+CPY+CUR+FCY+ACC+BPR+CSLFLO+CSLBPR+IDTCCE+FIY	No
BALPRECSL  	BLP	BLP3	LEDTYP+CUR+FCY+FIY+ACC+IDTCCE+BPR+CSLFLO+CSLBPR+CPY	No
BANK  	BAN	BAN0	BAN	No
BANK  	BAN	BAN1	CPY+FLDFIFCP+FLDSDA	Yes
BANKPOSD  	BPL	BPL0	CNSUSR+CPY+FCY+GRPBAN+BAN+TYPFRT+DUDDAT	No
BANKPOSD  	BPL	BPL1	INDLNK	Yes
BANREC  	BEH	BEH0	RBKNUM	No
BANRECD  	BED	BED0	RBKNUM+ACCNUM	No
BANRECD  	BED	BED1	ACCNUM	No
BAPPOINT  	BAP	APP0	APTNUM	No
BAPPOINT  	BAP	APP1	APTWEE	Yes
BAPPOINT  	BAP	APP2	APTDAT+APTHOU+APTNUM	No
BAPPOINT  	BAP	APP3	APTWEE+APTDAT+APTHOU	Yes
BAPPOINT  	BAP	APP4	APTDATX	Yes
BAPPOINT  	BAP	APP5	APTCMP	Yes
BAPPOINT  	BAP	APP6	APTORIADI+APTORIVCR+APTORIVCRL	Yes
BATCH  	BTC	BTC0	COD	No
BATCH  	BTC	BTC1	CODABT	Yes
BCKITOREN  	BREN	BREN0	SEQID	No
BCKITOREN  	BREN	BREN1	FICHIER+CREDAT	Yes
BDTTRK  	BDT	BDT0	TYP+NUM+LIG+DUDLIG+BADBTRULE+BADBTTYP+BDTNUM+BTLIG+BTDUDLIG	No
BDTTRK  	BDT	BDT1	TYP+NUM+BTLIG+BTDUDLIG+BADBTRULE+BADBTTYP	Yes
BDTTRK  	BDT	BDT2	FCY+BPR+CUR+ACCDAT	Yes
BENCHTRS  	BTS	BTS0	BTSTYP+BTSNUM	No
BENCHTRS  	BTS	BTS1	BTSNUM+BTSTYP	No
BETCPY  	BCH	BCH0	CLE	No
BETCPYL  	BCL	BCL0	NUMERO	No
BETCPYL  	BCL	BCL1	FLG1234+NUMERO	No
BETCPYL  	BCL	BCL2	CRIBETCPY	No
BGRBAN  	BGR	BGR0	GRPBAN	No
BID  	BID	BID0	BPATYP+BPANUM+BIDNUM+BPAADD	No
BID  	BID	BID2	BPATYP+BPANUM+BPAADD	Yes
BID  	BID	BID1	BPATYP+BPANUM+BVRNUM	Yes
BIDXT  	BIDXT	BID0	UIDSES+BPATYP+BPANUM+BIDNUM+BPAADD	No
BILLLADC  	BOLC	BOLC0	BOLNUM+BOLLIN	No
BILLLADC  	BOLC	BOLC1	BOLNUM+DOCNUMCON	No
BILLLADD  	BOLD	BOLD0	BOLNUM+BOLLIN	No
BILLLADD  	BOLD	BOLD1	BOLNUM+FRTCLS+PCK+NMFC	Yes
BILLLADH  	BOLH	BOLH0	BOLNUM	No
BILLLADWRK  	BOLW	BOLW0	REQNUM+USER+BOLNUM+BOLLIN	No
BILSTA  	BES	BES0	FRMNUM+LIN	No
BILSTA  	BES	BES1	PAYNUM+FRMNUM+LIN	No
BITMPPORDERP  	BIPOP	BIPOP0	BIPOPADXUID+POHNUM+POPLIN+POPSEQ	No
BITMPPORDERQ  	BIPOQ	BIPOQ0	BIPOQADXUID+POHNUM+POPLIN+POQSEQ	No
BITMPSORDERP  	BISOP	BISOP0	BISOPADXUID+SOHNUM+SOPLIN+SOPSEQ	No
BITMPSORDERQ  	BISOQ	BISOQ0	BISOQADXUID+SOHNUM+SOPLIN+SOQSEQ	No
BLACMM  	BLM	BLM0	LEDTYP+CPY+FCY+FIY+ACC+BPR+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+CUR	No
BLACMM  	BLM	BLM1	ACCNUM	No
BLAQTY  	BLQ	BLQ0	LEDTYP+CPY+FCY+FIY+ACC+BPR+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+CUR	No
BLAQTY  	BLQ	BLQ1	ACCNUM	No
BLAQTY  	BLQ	BLQ3	LEDTYP+CUR+FCY+FIY+ACC+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9+BPR+CPY	No
BLOBEXPENSES  	BEXP	BEXP0	ACCNUM	No
BLOBEXPENSES  	BEXP	BEXP1	CLB+DATEXS	Yes
BNKTRSIMP  	BTI	TFH0	FICHIER+LIN	No
BOM  	BOH	BOH0	ITMREF+BOMALT+BOMALTTYP	No
BOMCREF  	BCR	BCR0	ITMREF+BOMALT+BOMALTTYP+CPNITMREF+BOMSEQ+CPNREFSEQ	No
BOMCREF  	BCR	BRC1	ITMREF+BOMALT+BOMALTTYP	Yes
BOMD  	BOD	BOD0	ITMREF+BOMALT+BOMSEQ+CPNITMREF+BOMALTTYP	No
BOMD  	BOD	BOD1	CPNITMREF+ITMREF+BOMALT+BOMSEQ+BOMALTTYP	No
BOMD  	BOD	BOD2	ITMREF+BOMALT+BOMSEQ+BOMSEQNUM+CPNITMREF+BOMALTTYP	No
BOMD  	BOD	BOD3	BOMALT+CPNITMREF+BOMALTTYP+ITMREF+BOMSEQ	No
BOMD  	BOD	BOD4	BOMALT+ITMREF+BOMALTTYP+CPNITMREF+BOMSEQ	No
BOMPRN  	BOP	BOP0	BOPUID+BOMALTTYP+BOMALT+ITMREF+LIG	No
BOMRET  	BMR	BMR0	BMRUID+ITMREF+NIV+IMULT	Yes
BOMRET  	BMR	BMR1	BMRUID+ITMREF+BOHECCMAJ+BOHECCMIN+NIV+IMULT	No
BOMWUS  	BOW	BOW0	BOWUID+ITMREF+BOMALT+BOMSEQ+CPNITMREF+BOMALTTYP	No
BOMWUS  	BOW	BOW1	BOWUID+BOMALT+BOMALTTYP+ITMREF+BOMSEQ+CPNITMREF	No
BOSIMP  	BOSI	BOS0	ITMREF+BOMALT+BOMALTTYP+BOMSEQ+CPNITMREF	No
BOX1099  	BX9	BX90	FRM1099+BOX1099	No
BP1096PRN  	B96R	B96R0	YR1099+CPY+NUMLIG	No
BP1099BEGBAL  	B9B	B9B0	YR1099+CPY+BPSNUM+SEQ	Yes
BP1099BEGBAL  	B9B	B9B1	YR1099+CPY+BPSNUM+FRM1099+BOX1099	No
BP1099PRN  	B9R	B9R0	YR1099+CPY+BPSNUM+NUMLIG	No
BPADDRESS  	BPA	BPA0	BPATYP+BPANUM+BPAADD	No
BPADDRESSXT  	BPAXT	BPA0	UIDSES+BPATYP+BPANUM+BPAADD	No
BPARTNER  	BPR	BPR0	BPRNUM	No
BPARTNER  	BPR	BPR1	BPRSHO	Yes
BPARTNER  	BPR	BPR2	BETFCY+FCY+BPRNUM	No
BPARTNER  	BPR	BPR3	BPSFLG+CRN+EECNUM	Yes
BPCARRIER  	BPT	BPT0	BPTNUM	No
BPCARRIER  	BPT	BPT1	BPTNAM	Yes
BPCCATEG  	BCG	BCG0	BCGCOD	No
BPCINVLIG  	SIL	SIL0	NUM+LIG	No
BPCINVLIG  	SIL	SIL1	PJTLIN	Yes
BPCINVLIGA  	SIA	SIA0	NUM+LIG+ANALIG	No
BPCINVLIGLOC  	SILLOC	SILLOC0	NUM+LIG	No
BPCINVVAT  	SIT	SIT0	NUM	No
BPCUSTMVT  	MVC	MVC0	BPCRSK+CPY+BPCNUM+CUR	No
BPCUSTMVT  	MVC	MVC1	BPCNUM+CPY	Yes
BPCUSTOMER  	BPC	BPC0	BPCNUM	No
BPCUSTOMER  	BPC	BPC1	BPCNAM	Yes
BPCUSTOMERXT  	BPCTX	BPC0	UIDSES+BPCNUM	No
BPDLVCUST  	BPD	BPD0	BPCNUM+BPAADD	No
BPDLVCUST  	BPD	BPD1	RCPFCY+BPCNUM+BPAADD	No
BPDLVCUSTXT  	BPDXT	BPD0	UIDSES+BPCNUM+BPAADD	No
BPEXCEPT  	BPE	BPE0	BPRNUM+CPY	No
BPMISC  	BPM	BPM0	BPRTYP+BPRNUM	No
BPMISCCGF  	BPG	BPG0	BPRTYP+LAN	Yes
BPS1099GEN  	B9G	B9G0	YR1099+CPY+BPSNUM+FRM1099+BOX1099	No
BPS1099GEN  	B9G	B9G1	YR1099+CPY+BPSNUM	Yes
BPS1099GEN  	B9G	B9G2	YR1099+CPY+BPSNUM+FRM1099	Yes
BPS1099MNT  	B9M	B9M0	YR1099+CPY+BPSNUM+FRM1099+BOX1099	No
BPS1099PAY  	B9P	B9P0	YR1099+CPY+BPSNUM+PAYNUM+PAYLIN	No
BPS1099PAY  	B9P	B9P1	YR1099+CPY+BPSNUM+FRM1099+BOX1099	Yes
BPSCATEG  	BSG	BSG0	BSGCOD	No
BPSHISUPLN  	BSL	BSL0	BPSNUM+CPY+BPSSHI+BPSADD	No
BPSHISUPLN  	BSL	BSL1	BPSSHI+BPSADD	Yes
BPSHISUPP  	BSS	BSS0	BPSSHI+BPSADD	No
BPSINVLIG  	PIL	PIL0	NUM+LIG	No
BPSINVLIG  	PIL	PIL1	PJTLIN	Yes
BPSINVLIGA  	PIA	PIA0	NUM+LIG+ANALIG	No
BPSUPPLIER  	BPS	BPS0	BPSNUM	No
BPSUPPLIER  	BPS	BPS1	BPSNAM	Yes
BPSUPPLIER  	BPS	BPS2	BPSSHO	Yes
BPSUPPMVT  	MVS	MVS0	BPSRSK+CPY+BPSNUM+CUR	No
BPSUPPMVT  	MVS	MVS1	BPSNUM+CPY	Yes
BRDKEY  	BRD	BRD0	CPY+BRDREF+DSPKEY	No
BRDKEY  	BRD	BRD1	CPY+BRDREF	No
BSEINQ  	BSI	BSI0	PRONUM+LINNUM	No
BSEINQ  	BSI	BSI1	PRONUM+GRUACC	Yes
BSIBPRNUM  	BSIBPN	BSIBPN0	CPY+FCY+FILFMT	No
BSIBPRNUMD  	BSIBPND	BSIBPN0	CPY+FCY+FILFMT+LIN	No
BSIDUD  	BSIDUD	BSIDUD0	STMCOD+LIN+LIN1	No
BSIDUD  	BSIDUD	BSIDUD1	NUMDUD	Yes
BSIELTMAP  	BSIELT	BSIELT0	COD	No
BSIELTMAPD  	BSIELTD	BSIELTD0	COD+LIN	No
BSIFILFMT  	BSIFFM	BSIFFM0	CODBFF	No
BSIFILFMTD  	BSIFFD	BSIFFD0	CODBFF+LIN	No
BSIFILFMTD  	BSIFFD	BSIFFD1	CODBFF+SCT	Yes
BSIIMP  	BSIIMP	BSIIMP0	STMCOD	No
BSIIMPD  	BSIIMPD	BSIIMPD0	STMCOD+LIN	No
BSIIMPD  	BSIIMPD	BSIIMPD1	BAN+STMCOD	Yes
BSIIMPDS  	BSIIMPS	BSIIMPS0	STMCOD+TRSLIN+DETLIN	No
BSIIMPPAR  	BSIIP	BSIIP0	CODIMPPAR	No
BSIIMPTC  	BSITC	BSITC0	BSICODTC+BAN	No
BSIIMPTC  	BSITC	BSITC1	BAN	No
BSIINVDIO  	BSIIND	BSIIND0	CPY+FCY+FILFMT	No
BSIINVDIOD  	BSIINDD	BSIIND0	CPY+FCY+FILFMT+LIN	No
BSIITCD  	BSIITCD	BSITCD0	BSICODTC+BAN+COD	No
BSIITCD  	BSIITCD	BSITCD1	BAN+COD	No
BSIITCD  	BSIITCD	BSITCD2	BAN+COD+LEV	No
BSIMANENT  	BSIMAN	BSIMAN0	STMCOD+LIN+LIN1	No
BSIPAY  	BSIPAY	BSIPAY0	STMCOD+LIN+LIN1	No
BSIPAY  	BSIPAY	BSIPAY1	NUM	Yes
BSISCT  	BSISCT	BSISCT0	CODSCT	No
BSISCTD  	BSISCTD	BSISCTD0	CODSCT+LIN	No
BSISEAEXD  	BSISEA	BSISEA0	CODSEA	No
BSISEALIS  	BSILIS	BSILIS0	CPY+BAN+FILFMT	No
BSISEALISD  	BSILISD	BSILISD0	CPY+BAN+FILFMT+LIN	No
BUD  	BUD	BUD0	LEDTYP+BUD+CPY+FCY+FIY+VER+ACC+CCE1+CCE2+CCE3+CCE4+CCE5+CCE6+CCE7+CCE8+CCE9	No
BUD  	BUD	BUD1	ACCNUM	No
BUDAPP  	BOA	BOA0	NUM	No
BUDAPP  	BOA	BOA1	TYP+ENV+FIY+ACC	Yes
BUDAPPDET  	BAD	BAD0	NUMERO+NUMAPP	No
BUDAPPDET  	BAD	BAD1	NUMAPP+NUMERO	No
BUDFORCAL  	BUC	BUC0	BUDFOR+LIN	No
BUDOD  	BDE	BDE0	NUM	No
BUDODS  	BDO	BDO0	NUM+LIN	No
BUDPAR  	BUP	BUP0	BUD	No
BUDPURAUD  	BUA	BUA0	TYP+TYPPCE+NUM+LIN+SEQ+ANALIN+FIY	Yes
BUDPURAUD  	BUA	BUA1	BUANUM	No
BUDREV  	BRV	BRV0	NUM	No
BUDREV  	BRV	BRV1	TYP+ENV+FIY+ACC	Yes
BUDREVDET  	BVD	BVD0	NUMERO+NUMREV	No
BUDTYP  	BUT	BUT0	BUDCOD	No
BUDVARCAL  	BVC	BVC0	BUDFOR+VARCOD	No
BUDVER  	BUV	BUV0	BUD+VER	No
BUILOCSPA  	BLS	BLS0	NUM	No
CAAUZ  	CAZ	CAZ0	TYP+AUZ1+AUZ2	No
CACCE  	CCE	CCE0	DIE+CCE	No
CACCEDEF  	CDE	CDE0	COD+CPY	No
CADIEDEF  	CDI	CDI0	OBJ	No
CADISTMP  	DTP	DTP0	DTP	No
CADSP  	DSP	DSP0	DSP+NBRDSP	No
CAECOD  	CAEC	CAEC0	CAECOD	No
CALCDBG  	CDG	CDG0	BRKNORD	No
CALIBRAT  	CBT	CBT0	FCY+SLE+CBTDAT+MVTSEQ	No
CALIGUIDES  	CGD	CGD0	CGD+CGDLIG	No
CALLATTEMP  	CTT	CTT0	CTTNUM	No
CALLATTEMP  	CTT	CTT1	CTTCMP	Yes
CALLATTEMP  	CTT	CTT2	CTTCCN	Yes
CAPFLOTMP  	CWT	CWT0	NUMREQ+LIN	No
CAPVAR  	CPV	CPV0	WST+WCRFCY	No
CARAREA  	CAA	CAA0	BPTNUM+LINNUM	No
CARAREA  	CAA	CAA1	BPTNUM+STOFCY+CRY+POSCOD	Yes
CARPRICE  	CAP	CAP0	BPTNUM+BPTARE+RANG	No
CARPRICE  	CAP	CAP1	BPTNUM+RANG+BPTARE	No
CARPRICE  	CAP	CAP2	BPTNUM+BPTARE+MAXQTY	No
CASHING  	CAS	CAS0	GRAREF+CASHDAT	No
CASHING  	CAS	CAS1	CPY+GRAREF+CASHDAT	No
CASHING  	CAS	CAS2	CPY+FCY+GRAREF+CASHDAT	No
CASHPAYSPA  	CPS	CPS0	TYP+NUM+LIN	No
CASHPAYSPA  	CPS	CPS1	ACCNUM+LIN	No
CASHPAYSPA  	CPS	CPS2	BPRNUM	Yes
CBLOB  	CBB	CBB0	CODBLB+IDENT1+IDENT2	No
CBNDET  	CBD	CBD0	STOFCY+ITMREF+BUC+REQDAT+WIPTYP+WIPNUM	No
CBNDET  	CBD	CBD1	STOFCY+SUGTYP+SUGSTA+SUGNUM	Yes
CBNDET  	CBD	CBD2	STOFCY+ITMREF+WIPTYP+WIPSTA	Yes
CBNDET  	CBD	CBD3	ITMREF+STOFCY+BUC+REQDAT+WIPTYP+WIPNUM	No
CBNDET  	CBD	CBD4	ITMREFORI+STOFCY+WIPTYP+WIPSTA	Yes
CBNHEA  	CBH	CBH0	STOFCY+ITMREF	No
CBNHEA  	CBH	CBH1	STOFCY+LLC+ITMREF	No
CBNWRK  	CBW	CBW0	STOFCY+ITMREF+RECCOD+DAT	No
CCMACTION  	CCMACT	CCMACT_0	ACTIONID	No
CCMAPPROVER  	CCMAPPR	CCMAPPR0	CRID+APPRLN	No
CCMAPPROVER  	CCMAPPR	CCMAPPR1	CRID+APPRUSER	Yes
CCMAPPROVER  	CCMAPPR	CCMAPPR2	CRID+SORTSEQ	Yes
CCMCHGREQ  	CCMCR	CCMCR0	CRID	No
CCMCRDESC  	CCMCRD	CCMCR0	CRID	No
CCMCRNOTES  	CCMCRN	CCMCRN0	CRID+FILENAM+NOTELINE	No
CCMCRORIGC  	CCMCROC	CCMCROC0	CRID+ORIGCLN	No
CCMCRORIGC  	CCMCROC	CCMCROC1	CRID+BPCNUM	No
CCMCRORIGC  	CCMCROC	CCMCROC2	CRID+SORTSEQ	Yes
CCMCRORIGE  	CCMCROE	CCMCROE0	CRID+ORIGELN	No
CCMCRORIGE  	CCMCROE	CCMCROE1	CRID+EXTCONTACT	No
CCMCRORIGE  	CCMCROE	CCMCROE2	CRID+SORTSEQ	Yes
CCMCRORIGI  	CCMCROI	CCMCROI0	CRID+ORIGILN	No
CCMCRORIGI  	CCMCROI	CCMCROI1	CRID+USER	No
CCMCRORIGI  	CCMCROI	CCMCROI2	CRID+SORTSEQ	Yes
CCMCRORIGS  	CCMCROS	CCMCROS0	CRID+ORIGSLN	No
CCMCRORIGS  	CCMCROS	CCMCROS1	CRID+BPSNUM	No
CCMCRORIGS  	CCMCROS	CCMCROS2	CRID+SORTSEQ	Yes
CCMIMPBOD  	CCMIBOD	CCMBOD0	CRID+LINENO	No
CCMIMPBOD  	CCMIBOD	CCMBOD1	CRID+SORTSEQ	No
CCMIMPBOH  	CCMIBOH	CCMBOH0	CRID	No
CCMIMPFOD  	CCMIFOD	CCMIFOD0	CRID+LINENO	No
CCMIMPFOD  	CCMIFOD	CCMIFOD1	CRID+SORTSEQ	No
CCMIMPFOH  	CCMIFOH	CCMIFOH0	CRID	No
CCMIMPITM  	CCMIITM	CCMITM0	CRID	No
CCMIMPITMDET  	CCMITMD	CCMITD0	CRID+LINENO	No
CCMIMPITMDET  	CCMITMD	CCMITD1	CRID+SORTSEQ	No
CCMIMPMFGD  	CCMMFGD	CCMMFGD0	CRID+LINENO	No
CCMIMPMFGD  	CCMMFGD	CCMMFGD1	CRID+SORTSEQ	Yes
CCMIMPMFGH  	CCMMFGH	CCMMFGH0	CRID	No
CCMIMPPOD  	CCMIPOD	CCMPOD0	CRID+LINENO	No
CCMIMPPOD  	CCMIPOD	CCMPOD1	CRID+SORTSEQ	No
CCMIMPPOD  	CCMIPOD	CCMPOD2	CRID+BPSNUM+POHNUM	Yes
CCMIMPPOH  	CCMIPOH	CCMPOH0	CRID	No
CCMIMPPRD  	CCMIPRD	CCMPRD0	CRID+LINENO	No
CCMIMPPRD  	CCMIPRD	CCMPRD2	CRID+SORTSEQ	No
CCMIMPPRH  	CCMIPRH	CCMPRH0	CRID	No
CCMIMPROD  	CCMROD	CCMROD0	CRID+LINENO	No
CCMIMPROD  	CCMROD	CCMROD1	CRID+SORTSEQ	No
CCMIMPROH  	CCMROH	CCMROH0	CRID	No
CCMIMPSCD  	CCMSCD	CCMSCD	CRID+LINENO	No
CCMIMPSCH  	CCMSCH	CCMSCH0	CRID	No
CCMIMPSOD  	CCMSOD	CCMSOD0	CRID+LINENO	No
CCMIMPSOD  	CCMSOD	CCMSOD1	CRID+SORTSEQ	No
CCMIMPSOD  	CCMSOD	CCMSOD2	CRID+BPCORD+SOHNUM	Yes
CCMIMPSOH  	CCMSOH	CCMSOH0	CRID	No
CCMIMPSQD  	CCMISQD	CCMSQD0	CRID+LINENO	No
CCMIMPSQD  	CCMISQD	CCMSQD1	CRID+SORTSEQ	No
CCMIMPSQD  	CCMISQD	CCMSQD2	CRID+BPCORD+SQHNUM	Yes
CCMIMPSQH  	CCMISQH	CCMSQH0	CRID	No
CCMPLAND  	CCMPD	CCMPD_0	CRID+LINENO	No
CCMPLAND  	CCMPD	CCMPD_1	CRID+SORTSEQ	Yes
CCMPLANH  	CCMPH	CCMPH_0	CRID	No
CCMREJDSC  	CCMREJ	CCMCR0	CRID	No
CCNCOE  	COE	COE0	CPY+CCNACTCOD	No
CCNRPR  	RPR	RPR0	AASREF+FIYENDDAT+PERENDDAT	No
CCNRPR  	RPR	RPR7	FLGDEV+CPY+FIYENDDAT+PERENDDAT	Yes
CDFCOD  	CDC	CDC	REFCDF+VALOLDCOD	No
CDFCPY  	CDS	CDS	REFCDF+CPY	No
CDFFCY  	CDY	CDY	REFCDF+FCY	No
CDFPAR  	CDP	CDF0	REFCDF	No
CDFPAR  	CDP	CDF1	TABNAM+REFCDF	No
CDFPAR  	CDP	CDF2	TABNAM+REFCDF+CPYSRC+CPYDES	No
CDIADSP  	DAD	DAD0	LED+COD+LIN	No
CDIADSP  	DAD	DAD1	LED+COD	Yes
CFGABQ  	CAB	CAB0	ABQNUM+ABQLIN	No
CFGABQ  	CAB	CAB1	ABQNUM+ALPENDVAL+NUMENDVAL+DATENDVAL	Yes
CFGABQ  	CAB	CAB2	ABQNUM+ALPSTRVAL+NUMSTRVAL+DATSTRVAL+ALPSTRVALY+NUMSTRVALY+DATSTRVALY	Yes
CFGDEF  	CDF	CDF0	RECCOD+CODFIC+CODFLD+SCENUM	No
CFGDEF  	CDF	CDF1	RECCOD+CODFIC+SCENUM+CODFLD	No
