Table	Table Abbreviation	 Description
COUTFIN	COF	 Coût financier
COUTREEL	HRCOR	 Prix ??actuel
CPCEMP	CPE	 Compétences par employé
CPTANALIN	CAL	 Lignes comptables analytiques
CPTFOOTLNK	CFL	 Lignes comptables analytiques
CRMCLOB	CRC	 Fichier texte CRM
CRMTRS	CTR	 CRM de transaction d'entrée
CRMTRSVAL	CTV	 Transaction de saisie de valeurs CRM
CSFPARH	CWH	 Paramètres d'extraction d'en-tête
CSFPARL	CWL	 Paramètres d'extraction de ligne
CSFRES	CWR	 Résultat de l'extraction
CSFRESD	CSRD	 Analyse des flux de trésorerie
CSFRESH	CSRH	 Analyse des flux de trésorerie
CSFRESL	CSRL	 Analyse des flux de trésorerie
CSHWRT	DSIIC	 Table de travail caisse SII
CSICPC	CIC	 Compétences du programme
CSTAXUID	CSUID	 Identifiant fiscal
CSVATDAA	CSDAA	 Données de soumission en ligne
CSVATMAP	CSMAP	 Cartographie des soumissions en ligne
CSVATMAPD	CSMAPD	 Cartographie des soumissions en ligne
CTRLNIVW	CNW	 Lév. établi de contrôle
CTRUKIRT	UKIRT	 Champs supplémentaires
CTSWSP	CTSW	 Système de contrôle
CUMUL	CUM	 Totaux
CUNLISDET	CUD	 Comptes
CUNLISTE	CUL	 Compter les feuilles de calcul
CUNSERDET	CSD	 Le numéro de série compte
CUNSESSION	CUN	 Séance d'inventaire
DADCPY	DCP	 Société DASD
DADDNA	DNA	 Employés de l'ADN
DADDNA2	DNB	 Primes ADN
DADDNA3	DNC	 ADN Allocations mensuelles
DADDNA4	DND	 Avis ADN
DADDNA5	DNE	 Allocations ADN
DADDNA6	DNF	 Horaires de travail de l'ADN
DADDNA7	DNG	 ADN Rémunération payée
DADDNA8	DNH	 Rémunération de DNA Entertainment
DADEMP	HRDAE	 Employés DADS-U
DADEMP10	DAL	 Allocations GPEC DADS-U
DADEMP11	DAM	 Heures supplémentaires DADS-U
DADEMP12	DAQ	 Bien-être des bénéficiaires du DADS-U
DADEMP121	DQE	 Bien-être DADS-U
DADEMP2	DAS	 Employés DADS-U
DADEMP3	DAP	 Bien-être DADS-U
DADEMP31	DPE	 Bien-être des événements DADS-U
DADEMP32	DPP	 Bien-être salarial DADS-U
DADEMP33	DMU	 DADS-U comp. santé ins.
DADEMP34	DME	 Comp. d'événements DADS-U. santé ins.
DADEMP35	DMP	 Rémunération DADS-U comp. h. ins.
DADEMP4	DAC	 Employés DADS-U
DADEMP5	DAG	 Économies DAS-U
DADEMP6	DAH	 Actions DADS-U
DADEMP7	DAI	 Avantages DADS-U
DADEMP8	DAJ	 Dispenses DADS-U
DADEMP9	DAK	 Allocations DADS-U
DADFCY	DFC	 Site DAS2
DADFCY1	DFY	 Site DADS
DADFCY2	DFP	 Site DADS Bien-être
DADFCY3	DFR	 Retraite du site DADS
DADFCY4	DFQ	 Site DADS Bien-être
DATEVBPACC	DTB	 Affectation DATEV BP
DATEVCHRONO	DTC	#VALEUR!
DATEVGLACC	DTA	 Compte général DATEV. affectation
DATEVTAX	DTT	 Attribution du code fiscal DATEV
DCLCUSVATBE	DLCB	 Liste annuelle des clients
DCLCUSVATBED	DLCBD	 Liste annuelle des clients
DCLEECVATBE	DLEB	 Relevé de TVA UE (en-tête)
DCLEECVATBED	DLEBD	 Relevé de TVA UE (détail)
DCLINVNX3	DSIII	 Bâtiments SII
DCLROE	LROE	 240 Forme espagnole
DCLROEXT	LROEXT	 240 données externes du formulaire espagnol
DCLROEXTC	LROEXC	 240 données du cadastre du formulaire espagnol
DCLSII	DSII	 Moniteur SII
DCLVAT	DLV	 Déclaration fiscale sur les débits
DCLVATAGRB	VATAGR	 Livres agrégés TVA
DCLVATBOXDBD	DLVBD	 Détail TVA
DCLVATBOXH	DLVB	 En-tête TVA
DCLVATBOXPYD	DLVBP	 Détail TVA
DCLVATITA	DVI	 Déclaration détaillée de TVA italienne
DCLVATITA2	DV2	 Déclaration totale de TVA italienne
DCLVATITA3	DV3	 Déclaration annuelle de TVA italienne
DCLVATPAY	DVP	 Déclaration / perception fiscale
DCLVATPORB	DVPB	 Informations sur l'assiette TVA
DCLVATPORF	DVPF	 Champs de déclaration de TVA
DCLVATPORH	DVPH	 Déclaration de TVA
DCLVATPORL	DVPL	 Lignes de déclaration de TVA
DCLVATPORP	DVPP	 Paramètres TVA
DCLVATPORT	DVPT	 Impôts
DCLVATSPA	DVS	 Table de travail fiscale (SPA)
DEB	DEB	 Déclaration d'échange UE
DEBPAR	DER	 Paramètres de calcul Intrastat
DEBREGNAT	DRN	 Règle et nature du mouvement
déc-83	DEC	 2483 déclaration
DECAT	DLA	 Déclaration WI
DECCHARGE	DCH	 Déclarations de charges
DEFVAL	DVA	 Valeurs par défaut complexes
DEMANDE	DEM	 Demande de formation
DEMCONGE	DCG	 Demandes de vacances
DEMLIG	DML	 Lignes de demandes de formation
DEMSPLITS	DCGSP	 Laisser les divisions de sous-types
DEPREC	DEP	 Charge
DEPRECARC	DEA	 Archives des frais
DEPSIMU	DPS	 Charge
DIAHOU	DIH	 Schémas d'horaires
DICODAD	DDA	 Dictionnaire de terrain DADS-U
DICODSN	DSN	 Dictionnaire de champs DSN
DICOEMP	DIC	 Dictionnaire de domaine des employés
DIETRS	DTR	 Transaction de saisie analytique
DIETRSXX	DTX	 Transaction de saisie analytique
DKSDATA	DKD	 Signatures électroniques
DKSDATAFRA	DKF	 Signatures électroniques
DKSDATAPOR	DKP	 Signatures électroniques
DKSJAV	DKJ	 Paramètres de connexion
DKSKEY	DKK	 Gestion des clés
DKSLOG	DKL	 Journal des signatures
DMWBPREXC	DMWBPE	 Exceptions en matière d'élimination des déchets
DMWPAORD	DMWPAOR	 Gestion de l'élimination des déchets
DMWPRODPACKD	DMWPPAD	 Mission d'emballage du produit
DMWPRODPACKH	DMWPPAH	 Mission d'emballage du produit
DMWQTY	DMWQTY	 Quantité de déchets éliminés
DMWQUOTAD	DMWQUOD	 Quota de gestion des déchets
DMWQUOTAH	DMWQUOH	 Quota de gestion des déchets
DMWSCHEME	DMWSC	 Programme d'élimination des déchets
DMWWEIGHT	DMWWEI	 Poids des déchets
DNODEBNOT	DNO	 Bons d'intérêt
DOCSIINX3	DSIID	 Documents externes SII
DOOBPCINT	DBI	 Clients internes
DOOBPCLNK	DBL	 Association donneuse d'ordre
DPRMOD	DPM	 Méthodes d'amortissement
DPRMODOPT	DMO	 Option méthode d'amortissement
DPRMODRAT	DMR	 Taux de méthode d'amortissement
DROITVOTE	DVT	 Droit de vote
DUCS0	DCS	 DUCS
DUCS1	DCL	 DUCS
DUCS2	DCT	 DUCS Transports
DUCS3	DCX	 Taxe de transport DUCS
DUDLNK	DLN	 Liens d'articles ouverts
DUEEMP	DUE	 Extraction DUE
ECCNEND	E52	 Evt - fin de concession
ECCNREV	E51	 Evt - ajout de concession. clause
ECCSTA	ECS	 Statuts des versions majeures
ECCVAL	EVL	 Versions
EDIBPRCPY	EBC	 Flux EDI par tiers/société
EDIBPRCPYD	EBCD	 Flux EDI par tiers/société
EDIBPRPAR	EBP	 Partenaires EDI par BP
EDICAT	ECA	 Catégorie EDI
EDICATD	ECAD	 Catégorie EDI (filtres)
EDICATK	ECAK	 Catégorie EDI (autorisations)
EDICATL	ECAL	 Catégorie EDI (législations)
EDICATREF	ECR	 Autorisation de catégorie réf.
EDICPYPAR	ECP	 Partenaires EDI par entreprise
EDICPYPARD	ECPD	 Partenaires EDI par entreprise
EDICPYPARFLO	ECPDF	 Flux EDI par entreprise
EDIDEB	EDB	 Déclaration d'échange UE
EDIFCYPAR	EFP	 Partenaire EDI par site
EDIFLO	EFL	 Couler
EDIFLOA	EFLA	 Pièce jointe
EDIFLOAP	EFLAP	 Paramètres
EDIFLOD	EFLD	 Détail du flux
EDIFRM	EDM	 Formules
EDIMSG	EMS	 Mappage des messages
EDIMSGA	EMSA	 Autorisations entrantes
EDIMSGD	EMSD	 Détails du mappage des messages
EDIPAR	EDP	 Configuration des messages
EDIPARTNER	EPR	 Partenaires EDI
EDIPARTNERD	EPRD	 Partenaires EDI
EDIPTC	EPT	 Protocole
EDIPTCD	EPTD	 Détail du protocole
EDIPTCM	EPTM	 Détail du protocole
EDIRUN	EDR	 Lancement du processus
EDIRUND	EDRD	 Lancement du processus
EDISEG	EDS	 Segments
EDISEQFIL	ESF	 Fichier séquentiel
EDISEQFILD	ESFD	 Détail du fichier séquentiel
EDISEQFILF	ESFF	 Fichiers séquentiels
EDISTO	EST	 Espace de stockage temporaire
EDISTOC	ESTC	 Fichier texte (clob)
EDISTOE	ESTE	 Événements
EDISTOF	ESTF	 Détail du flux
EDISTOJ	ESTJ	 Erreur
EDISTOU	ESTU	 Stockage
EDITMPDOC	ETC	 Documents
EDITMPLOG	EDL	 Enregistrer
EDITRBK	EBK	 Rapport de rapprochement bancaire
EDITRKDOC	EDK	 Documents
EDIXMLFIL	EXF	 Fichier XML
EDIXMLFILD	EXFD	 Détails du fichier XML
EDIXMLFILF	EXFF	 Fichiers XML
EDIXMLFILP	EXFP	 Détails du fichier XML
EDIXMLFILXSD	EXSD	 Fichiers XSD
EDIXSDUPL	EXU	 Téléchargement EDI du fichier XSD
EDIXSDUPLLOB	EXUL	 Champ de lobes
EDTDADSU	EDU	 Impression du fichier DADSU
EDTTDS	ETD	 Rapport de fichier TDS
EECBIDWL	EWL	 Statut de la liste blanche
EFASACT	E21	 Evt - mise à jour
EFASAFFAGE	E22	 Evt - transfert analytique/géo
EFASCCN	E53	 Evt - mise à jour des attributs de concession
EFASCCNAGE	E34	 Evt - transfert de provision
EFASCCNCNL	E32	 Evt – suppression d'éléments
EFASCCNISS	E33	 Evt - provision pour cession d'actifs
EFASCFS	E38	 Evt -Classement à vendre
EFASCHGIMP	E23	 Evt - modifier l'allocation du compte
EFASCHGPPL	E37	 Changement du plan de production Evt
EFASCNL	E30	 Evt – suppression d'éléments
EFASCRT	E24	 Evt - création d'actifs
EFASIML	E25	 Evt - perte de valeur
EFASISS	E26	 Evt - cession d'actifs
EFASLNKCNL	E36	 Evt – suppression d'éléments
EFASMTC	E27	 Evt - changement de méthode
EFASPLMDR	K33	 Evt - Amélioration
EFASREEVAL	E28	 Evt - réévaluation
EFASRNW	E31	 Evt-renouvellement
EFASRNWCNL	E35	 Evt – suppression d'éléments
EFASRUCRT	K24	 Evt - création d'actifs
EFASRURST	K32	 Evt - relancer l'amortissement
EFASRUSTP	K31	 Evt - arrêter l'amortissement
EFASVATREG	E29	 Evt - ajuster. taxe sur les ventes d'actifs
EGRTCASH	E61	 Evt - transfert de subvention
EGRTCNL	E64	 Evt - Suppression de subvention
EGRTCRB	E63	 Evt- subvention réinsertion
EGRTCRT	E62	 Evt - création de subvention
EINVMAP	EINVMAP	 Cartographie
EINVMAPD	EINVMD	 Détails
EINVMAPNODES	EINVMND	 Nœud
EINVMAPXSD	EINVMXS	 Fichiers XSD
EINVOUT	EOUT	 Factures électroniques clients
EINVWK	EIVW	 Table de travail de facturation électronique
EINVWKD	EIVWD	 Table de travail de facturation électronique
ELEAACTU	E41	 Evt - actualisation du contrat
ELEACNL	E47	 Evt - suppression du contrat
ELEACRT	E42	 Evt - création de contrat
ELEAEND	E43	 Evt - fin de contrat
ELEAPAY	E44	 Evt - frais de contrat
ELEARPU	E45	 Evt - exercice d'option d'achat
ELEATRM	E46	 Evt - résiliation du contrat
ELOFCIM	E01	 Evt - modifier le compte de dépenses
ELOFCNL	E03	 Evt - suppression des dépenses
ELOFVATREG	E02	 Evt – Taxe de vente, ajustement des dépenses
EMODELE	E00	 Evt - tableau modèle
EMPCTR	ECT	 Contrat en cours
EMPCTRUKIRT	CTRUR	 Champs supplémentaires
EMPCTRUKISTG	CTRUSG	 Champs supplémentaires
EMPLOAD	AD	 Informations administratives
EMPLOCHD	CHD	 Enfants
EMPLOCPT	CPT	 Information comptable
EMPLOCTR	HRCTR	 Contracter
EMPLOCTRAFR	CTRAFR	 Champs Afrique supplémentaires
EMPLOCTRAUS	CTRAUS	 Champs supplémentaires pour l'Australie
EMPLOCTRCPT	CPR	 Informations comptables contractuelles
EMPLOCTREMP	CTE	 Contrat par salarié
EMPLOCTRFRA	CTRFRA	 Champs France supplémentaires
EMPLOCTRMID	CTRMID	 Champs supplémentaires au Moyen-Orient
EMPLOCTRNA	CTRNA	 Champs supplémentaires
EMPLOCTRPEN	CPN	 Positionner les cond dangereux en suite
EMPLOCTRPOR	CTRPO	 Contracter
EMPLOCTRSA	CTRSA	 Champs RSA supplémentaires
EMPLOCTRSTG	HRCSG	 Contracter
EMPLOCTRUKI	CTRUKI	 Champs supplémentaires
EMPLOCUM	EPC	 Totaux
EMPLODIRNUM	HREDM	 Numéros de directive
EMPLOELC	ELC	 Listes électorales
EMPLOEXM	HREXM	 Degrés
EMPLOEXN	EXN	 Notes de dépenses
EMPLOHAB	HAB	 Autorisations
EMPLOID	ID	 État civil
EMPLOIDAFR	EAF	 Champs Afrique supplémentaires
EMPLOIDAFRRT	EAFR	 Champs Afrique supplémentaires
EMPLOIDAUS	EAUS	 Champs supplémentaires pour l'Australie
EMPLOIDESS	IDES	 État civil
EMPLOIDMID	EMID	 Champs supplémentaires au Moyen-Orient
EMPLOIDMIDRT	EMIR	 Champs supplémentaires au Moyen-Orient
EMPLOIDNA	IDNA	 Champs supplémentaires
EMPLOIDPOR	IDPOR	 État civil
EMPLOIDRT	IDRT	 État civil
EMPLOIDSA	ESA	 Champs RSA supplémentaires
EMPLOIDSART	ESAR	 Champs RSA supplémentaires
EMPLOIDSTG	IDSG	 État civil
EMPLOIDUKI	IDUKI	 Champs supplémentaires
EMPLOJNT	JNT	 Conjoints (>1)
EMPLOMED	MED	 Examens médicaux
EMPLOPAR	PAR	 En différé
EMPLOPAS	EPA	 Tarifs personnalisés WHT
EMPLOPOT	EPO	 Position
EMPLORIB	RIB	 Relevé d'identification bancaire
EMPLORIBSTG	RIBSG	 Relevé d'identification bancaire
EMPLOSAL	SAL	 Gains de salaire
EMPLOTAXAFR	ETA	 Informations fiscales
EMPLOTAXREC	ETR	 Informations fiscales
EMPLOTRY	TRY	 Expérience professionnelle
EMPSBD	ESB	 Subalterne
EMPUKISTG	IDUSG	 Champs supplémentaires
ENTITE	ENT	 Entité
ENVELOPPE	ENV	 Enveloppe
ENVFIY	ENF	 Distribuer l'enveloppe/exercice financier
EPAADDPAY	EPAADP	 Paiements supplémentaires
EPADETAILS	EPADET	 Paiements externes
EPAGENPAY	EPAGPP	 Générer des paiements externes
EPAHEADER	EPAHEA	 Paiements externes
EPARAT	EPARAT	 Tarifs standards
EPARATD	EPARATD	 Taux de paiement externe
EPASETVAR	EPASLV	 Variables
EPASUSPEND	EPASPD	 Suspension
EPATYP	EPATYP	 Taper
EPHYAFFGEO	E82	 Évt - Phys. transfert géographique d'actifs
EPHYCRT	E81	 Evt - Création d'actifs physiques
EPHYISS	E83	 Evt - Cession d'actifs physiques
ESCSRE	ECE	 Historique des escalades
ESINVD	ESID	 Lignes de facture
ESINVH	ESIH	 Factures
ESINVNOT	ESIN	 Notes de facture
ESINVTRDPTY	ESI3P	 Facturer à des tiers
ESLSALTYP	ESTY	 Types de ventes CE
ESLSALTYPD	ESTYD	 Types de ventes CE
ESLTYPASS	ESTA	 Affectation par types de ventes EC
ESLTYPASSD	ESTAD	 Affectation par types de ventes EC
ESSDCG	ESDCG	 Demandes de vacances
ESSDOCBLB	ESDL	 Génération de documents ESS
ESSDOCGEN	ESDG	 Génération de documents ESS
ESSDOCGENDET	ESDGD	 Génération de documents ESS
ESSDOCTMP	ESSDT	 Génération de documents ESS
ESSEMLBLB	ESBL	 Génération de fiche de paie ESS
ESSEMLTMP	ESSMT	 Valeurs des employés
ESSMGRLNK	ESML	 Lien du gestionnaire
ESSMGRLNKDET	ESMLD	 Détail
ESSTAXBLB	ESTL	 Génération de documents ESS
ESSUSRTRK	ESUT	 Utilisateurs
ESSWRKAFR	EWAF	 Champs Afrique supplémentaires
ESSWRKCHD	EWCHD	 Enfants
ESSWRKEMP	EWID	 État civil
ESSWRKEXM	EWEXM	 Degrés
ESSWRKFLWDET	ESWD	 Flux de travail
ESSWRKJNT	EWJNT	 Conjoints (>1)
ESSWRKMID	EWMID	 Champs supplémentaires au Moyen-Orient
ESSWRKPOR	EWPOR	 État civil
ESSWRKRIB	EWRB	 Relevé d'identification bancaire
ESSWRKSA	EWSA	 Champs RSA supplémentaires
ESSWRKTRY	EWTRY	 Expérience professionnelle
ESSWRKUKI	EWUKI	 Champs supplémentaires
EURSRVDCL	ESH	 Déclaration européenne de services
EURSRVDCLD	ESD	 Déclaration européenne de services
EVAEMP	EVE	 Entretien
EVAEMPACT	EVI	 Entretien d'action
EVAEMPCPC	EVC	 Compétences en entretien
EVAEMPDET	EVD	 Performance des entretiens
EVAEMPIND	EVIN	 Indicateur de responsabilité
EVAEMPMIS	EVM	 Entretien de mission
EVCRESULT	EVCR	 Résultat du contrôle du numéro de TVA intracommunautaire
EVENTTRNP	EVT	 Incident de transport
EXCEPTC	ECC	 Exceptions de calcul
EXCEPTD	ECD	 Exceptions de calcul
EXCEPTH	ECH	 Exceptions de calcul
EXCEPTV	ECV	 Exceptions de calcul
EXKWORD	EKW	 Mots-clés existants
EXOPAY	EXO	 Exonération de salaire
EXPARAM	EXM	 Paramètres
EXPENSES	EXS	 Frais
EXPENSESH	EXH	 Frais
EXPENSESHEA	EXSH	 Notes de dépenses
EXTRMPRODUCT	EXTRMPR	 Article vitrine
EXTRMPROVIDE	EXTRMPV	 Fournisseur vitrine
FACGROUP	FGR	 Regroupement de sites
FACILITY	FCY	 Des sites
FACTOR	FCT	 Facteurs
FAEPAR	FAE	 Configuration d'ACCENTFIL
FAMPB	PBL	 Groupe de compétences
FAMPBQUE	PBQ	 Files d'attente correspondantes
FAMPBREP	PBR	 Employés qualifiés
FASFAM	FAM	 Groupes d'actifs
FIEDIC	FID	 Critères de cible
FIEDICFIE	FDF	 Champs de critères cibles
FIFOCONVAR	FIFCV	 Calcul du taux FIFO
FIFOCONVARD	FIFCVD	 Calcul du taux FIFO
FILEDIH	FEH	 Structure du fichier EDI
FILEDIL	FEL	 Liste des valeurs EDI
FILTDS	FTD	 Structure du fichier DADS-U
FILTDSLIS	FTL	 Liste des structures de fichiers N4DS
FILTDSMSG	FTM	 Liste des structures de fichiers N4DS
FISCALYEAR	FIY	 Années fiscales
FISCYEAR	FIS	 Exercice fiscal
FLXJOB	FJH	 Processus d'affaires
FLXJOBRSP	FJR	 Flux de travail - Gestionnaires
FONDS	FDS	 Fonds
FORCTR	FOC	 Formule du document d'arrivée
FRECST	FCS	 Coût
FREFLD	FRF	 Champs libres
FRTCLS	FRT	 Classe de fret
FRTCOMCOD	FCC	 Code de marchandise de fret
FUP	FUP	 Rappels effectués
FUPGRP	FGP	 Groupes de rappel
FUPTXT	FPT	 Textes de rappel
FXBLOB	FBB	 Dossiers spéciaux
FXDASSETS	FAS	 Actifs
FXDLIFL	FLU	 Suivre les fonds
FXDLOFGRP	LFG	 Regroupement de dépenses
FXDMVT	FXM	 Import de mouvement - En-tête
FXDMVTD	FXD	 Import de mouvement - Détail
GACCAUZ	GCA	 Comptes compatibles
GACCCLS	CLS	 Classes de comptes
GACCCODE	CAC	 Codes comptables
GACCCODLIG	CCL	 Lignes de code comptable
GACCDEF	GCF	 Comptes par défaut
GACCDENCOD	CDA	 Attribut de paiement
GACCDIM	GCD	 Types de dimensions par défaut
GACCDUDATE	DUD	 Éléments ouverts
GACCENTRY	HAE	 Écritures comptables
GACCENTRYA	DAA	 Ligne de comptabilité analytique
GACCENTRYD	DAE	 Lignes d'écriture comptable
GACCFIX	GAF	 Entrées récurrentes
GACCFIYENA	FYA	 C/avant. Fichier temporaire
GACCFIYEND	FYD	 C/avant. Fichier temporaire
GACCGRUPYM	GRY	 Groupes de comptes
GACCINTCPY	GIC	 Écriture de journal intersociétés
GACCINTCPYA	GIA	 Lignes ana du journal intersociétés
GACCINTCPYD	GID	 Lignes d'écriture de journal intersociétés
GACCOUNT	GAC	 Comptes
GACCOUNTA	GAA	 Comptes (tableau supplémentaire)
GACCPYM	GYM	 Pyramides de comptes
GACCPYMLIK	GYK	 Liens vers la pyramide des comptes
GACCPYMPRT	GYP	 Imprimer des pyramides
GACCTMP	HAT	 Écritures comptables
GACCTMPA	AAT	 Ligne de comptabilité analytique
GACCTMPD	DAT	 Lignes d'écriture comptable
GACM	GCM	 Modèle de base du compte
GAJOUSTA	JST	 Journaux - rapports par période
GAPARBSE	PBS	 Codes de rapport par défaut
GAPARDUM	PDM	 Transfert de solde de compte
GAUTACE	GAU	 Journaux automatiques
GAUTACED	GAD	 Pièces automatiques (lignes)
GAUTACEF	GAG	 Formules de journal automatiques
GAUTACEL	GALEG	 Législation sur les journaux automatiques
GAUTRCTMP	GTT	 Tableau de traçabilité temporaire
GAUTRCVCR	GAT	 Traçabilité automatique des journaux
GBAGSCR	GBS	 Écran de balance âgée
GCACCOA	GCO	 Compte. opérations de saisie de code
GCCEGRUPYM	CRY	 Analyse de la pyramide des groupes
GCCEPYM	CYM	 Pyramides dimensionnelles
GCCEPYMLIK	CYK	 Liens vers la pyramide des dimensions
GCCEPYMPRT	CYP	 Imprimer des pyramides
GCLCACEPAR	CLC	 Écritures de journal calculées
GCOA	COA	 Plan comptable
GCOMMIT	CMM	 Engagements
GCOMMITD	CMD	 Détails de l'engagement
GCOMMITX	CMX	 Engagements (réf)
GDIAACC	GDA	 En-tête du schéma de compte
GDIAACCD	GDC	 Lignes du schéma de compte
GDIAENTRY	GDE	 Opérations d'entrée
GDIAENTRYD	GDD	 Opérations d'écriture de journal
GDIE	DIE	 Types de dimensions
GDPDUDUD	GDPDUD	 Éléments ouverts
GDUDSCR	GDS	 Écrans d’éléments ouverts
GENTLOT	LOT	 Lots de pièces comptables
GENTLOTA	LOA	 Lignes de saisie des lots analytiques
GENTLOTD	LOD	 Lignes de saisie de lots générales
GENTLOTH	LOH	 En-tête de saisie de lot
GFSATT	GFSATT	 Attribut
GFSATTVAL	GFSATTV	 Valeur d'attribut
GFSCALEXP	GFSCEP	 Exception de calendrier
GFSCUSFLDS	GFSCF	 Les champs personnalisés
GFSCUSVALS	GFSCV	 Valeurs personnalisées
GFSITFATTV	GFSIAV	 Attribut produit-site
GFSITMATT	GFSIA	 Attribut du produit
GFSMRK	GFSMRK	 Marqueur
GFSOBJ	GFSOBJ	 Objets
GFSOPTLIN	GFSOL	 Lignes de la matrice d'optimisation
GFSOPTMAT	GFSOM	 Matrice d'optimisation
GFSPIN	GFSPIN	 Type de broche d'opération
GFSSETEXC	GFSSTE	 Exceptions de temps de configuration
GFSSETTIM	GFSST	 Matrice de temps de configuration
GFSTAG	GFSTAG	 Étiqueter
GFUPSCR	GFP	 Écran de rappels
GGRILLE	RIL	 Grille d'entrée
GJOUCOA	JCO	 Journaux - Plan comptable
GJOURNAL	JOU	 Codes journaux
GLCONSO	GLC	 Grand livre de consolidation
GLED	LED	 registre
GRANTS	GRT	 Subventions
GRILLE	GRI	 Grille d'entrée
GRPACEMTC	GRM	 Entrées de groupe correspondantes
GRPAUTACE	GRA	 Groupe de journaux automatiques
GRPCPC	GCP	 Groupe de compétences
GRPCPCD	HRGCD	 Détail de l'ensemble des compétences
GRPCUR	GCU	 Groupes de devises
GRPDSP	GSP	 Groupes de distribution
GRPSAC	GSC	 Groupes de contrôle
GSTDTL	GDL	 Détail de la TPS
GSTGRP	GSTGH	 En-tête du groupe TPS
GSTGRPD	GSTGD	 Détails du groupe TPS
GSTHDR	GHR	 En-tête de TPS
GSTPER	GSTPH	 En-tête de la période de déclaration de la TPS
GSTPERD	GSTPD	 Détails de la période de déclaration de la TPS
GTABACC	GTC	 Écrans de demande
GTABACC2	GT2	 Demandes de compte
GTABACC3	GTC3	 Graphique du solde
GTEGRP	GTEGH	 Groupes de types d'entrée
GTEGRPD	GTEGD	 Groupes de types d'entrée
GTMPMTC	GMT	 Table de correspondance temporaire
GTYPACCENT	GTE	 Types de documents
GVARCODPAR	GVA	 Paramètres des variables
GVARGAU	GVG	 Variables de journal automatiques
GVARPARGAU	GVP	 Paramètres des variables
GVARPARVAL	GVV	 Valeurs des paramètres
HABCODPOR	HRHAB	 Code d'habilitation
HANDLING	HSH	 Instruction de traitement des stocks
HANDLINGR	HSR	 Instruction du conteneur
HD1CLOB	HD1	 Le service demande des fichiers texte
HD2CLOB	HD2	 Fichiers texte d'actions
HD3CLOB	HD3	 Fichiers texte de solutions
HD4CLOB	HD4	 Commerl rapporte des fichiers texte
HD5CLOB	HD5	 Fichiers texte marketing
HD6CLOB	HD6	 Mini-fichiers texte CRM
HD7CLOB	HD7	 Fichiers txt contre le srv arrière
HD8CLOB	HD8	 Plombs en tête
HDKTASK	HDT	 Service après-vente. consommation
HDKTASKINV	HDI	 Consommations à facturer
HDKTRS	HTR	 Transaction d'entrée HDK
HDKTRSVAL	HTV	 Transaction de saisie de valeur HDK
HISCTR	HISC	 Histoire
HISPARMVT	HPM	 Histoire du mouvement
HISPOA	HIP	 Historique des paiements anticipés
HISTAXSPA	HTS	 Historique de l'extraction fiscale
HISTOAMD	HAM	 Historique des modifications
HISTOCRM	HST	 Histoire
HISTOCTX	HIC	 Contexte d'archivage
HISTODUD	HDU	 Archives des éléments ouverts
HISTOMDT	HMDT	 Paiements effectués
HISTOOMM	HIM	 Historique des envois
HISTOPAYE	HSP	 Historique de paie
HISTOREGUL	HRHSR	 Historique de paie
HLYDAY	HLY	 Vacances publiques
HON281	HHO	 281,5 frais (Belgique)
HON281D	DHO	 Détails des frais 281,5
HONLIN	HLN	 Lignes de frais
HONPRV	PRV	 Fournisseurs de services
HOROITM	HOI	 Articles horodatés
HRAEDETAIL	HRAED	 Détail des gains attachables
HRAEHEADER	HRAEH	 En-tête de gains attachable
HRAESUSPEND	HRAES	 Suspension des gains pouvant être saisie
HRAFRCLASS	HRAFRCL	 Contrat africain. classification
HRAFRCLSOLD	HRCLSO	 Contrat africain. classification
HRATTEARRAT	HRAER	 Taux de déduction AE
HRATTEARTYP	HRAET	 Types de revenus pouvant être saisis
HRCATACTION	HRCAN	 Catégorie d'action
HRCATCSP	HRCSP	 Catégorie socioprofessionnelle
HRCLLCVT	HRCLV	 Convention collective
HRCOMPANYAFR	CPYAFR	 Entreprise
HRCOMPANYAUS	CPYAUS	 Entreprise
HRCOMPANYKSA	CPYKSA	 Entreprise
HRCOMPANYMID	CPYMID	 Entreprise
HRCOMPANYNA	CPYNA	 Données légales NA
HRCOMPANYPO	CPYPO	 Entreprise
HRCOMPANYUKI	CPYUKI	 Données juridiques britanniques
HRCPYREC	CPYREC	 Rapport de rapprochement de l'entreprise
HRCPYRECPAY	CPYRECP	 Rapport de rapprochement de l'entreprise
HRCPYRECPM	CPYRECM	 Rapport de rapprochement de l'entreprise
HRCPYRECTERM	CPYRECT	 Rapport de rapprochement de l'entreprise
HRCPYUKALL	CUAL	 Indemnité d'entreprise
HRCPYUKCAR	CUCA	 Avantages voitures/carburant
HRCTRDOC	HRDOC	 Documents à générer
HRCTRGRD	HRCGD	 Raison d'arrivée
HRDCOMMIT	HRDCM	 les membres du comité
HRDECEXO	HRDEXO	 Déclaration d'exonération
HRDESCTRCOD	HRDTD	 Description du contrat de contribution
HRDESCTRCOT	HRDTC	 Description du contrat de contribution
HRDRECOUR	HRDRR	 Appel
HRDSANCHEAD	HRDSNH	 En-tête de sanction
HRDSANCTRANS	HRDST	 Transgression des sanctions
HRDSANCWITN	HRDSW	 Témoin de sanction
HRDSCFCY	HRCFY	 Déclaration du site DSN
HRDSCFCY2	HRCFP	 Bien-être du site DSN
HRDSCFCY3	HRCFV	 Paiements sur site DSN
HRDSCFCY4	HRCFH	 Contributions du site DSN
