    Table  	Table Abbreviation	Column	 Normal title  	Type	Length	expression
CONTACTXT  	CNTXT	SSCNUM	 Soc. fonds de sécurité	DCB	19,8	
CONTACTXT  	CNTXT	TEL	 Téléphone	TEL		
CONTACTXT  	CNTXT	UIDCRDNUM	 Numéro de carte d'identité	A	10	
CONTACTXT  	CNTXT	UIDSES	 Session	L	8	
CONTACTXT  	CNTXT	UPDDAT	 Date de modification	D		
CONTACTXT  	CNTXT	UPDDATTIM	 Date et heure	ADATIM		
CONTACTXT  	CNTXT	UPDUSR	 Changer d'utilisateur	AUS		[AUS]CODUSR=[CNTXT]UPDUSR
CONTACTXT  	CNTXT	WEB	 E-mail	MAI		
CONTACTXT  	CNTXT	ZIP	 Code Postal	POS		
CONTAINER  	CTRH	AUUID	 Identifiant unique	AUUID		
CONTAINER  	CTRH	AVAVOL	 Volume disponible	QTY		
CONTAINER  	CTRH	AVAWEI	 Profiter. poids	QTY		
CONTAINER  	CTRH	BPSNUM	 Fournisseur	BPS		[BPS]BPS0=[CTRH]BPSNUM
CONTAINER  	CTRH	CREDATTIM	 Date et heure	ADATIM		
CONTAINER  	CTRH	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[CTRH]CREUSR
CONTAINER  	CTRH	CRRWEI	 Poids total du conteneur.	QTY		
CONTAINER  	CTRH	CTRNUM	 Conteneur n°	VCR		
CONTAINER  	CTRH	CTRUID	 ID du conteneur	A	20	
CONTAINER  	CTRH	CUR	 Devise	CUR		[TCU]TCU0=[CTRH]CUR
CONTAINER  	CTRH	DSPVOU	 Unité de volume	UOM		[TUN]TUN0=[CTRH]DSPVOU
CONTAINER  	CTRH	DSPWEU	 Unité de poids	UOM		[TUN]TUN0=[CTRH]DSPWEU
CONTAINER  	CTRH	FCY	 Site	FCY		[FCY]FCY0=[CTRH]FCY
CONTAINER  	CTRH	FULFLG	 Complet	M	4	
CONTAINER  	CTRH	SEANUM1	 Sceau numéro 1	A	30	
CONTAINER  	CTRH	SEANUM2	 Sceau numéro 2	A	30	
CONTAINER  	CTRH	SEANUM3	 Sceau numéro 3	A	30	
CONTAINER  	CTRH	SHIPNUM	 Numéro d'expédition	VCR		
CONTAINER  	CTRH	TCTRNUM	 Récipient	TCTR		[TCTR]TCTR0=[CTRH]TCTRNUM
CONTAINER  	CTRH	TOTLINAMT	 Lignes de facture hors taxe	MD1		
CONTAINER  	CTRH	TOTLINVOU	 Volume total de la ligne	QTY		
CONTAINER  	CTRH	TOTLINWEU	 Poids total de la ligne	QTY		
CONTAINER  	CTRH	UPDDATTIM	 Date et heure	ADATIM		
CONTAINER  	CTRH	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[CTRH]UPDUSR
CONTAINERD  	CTRD	AUUID	 Identifiant unique	AUUID		
CONTAINERD  	CTRD	CHGTYP	 Type de taux	M	15	
CONTAINERD  	CTRD	CREDATTIM	 Date et heure	ADATIM		
CONTAINERD  	CTRD	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[CTRD]CREUSR
CONTAINERD  	CTRD	CTRLIN	 Doubler	L	8	
CONTAINERD  	CTRD	CTRNUM	 Conteneur n°	VCR		
CONTAINERD  	CTRD	EECICT	 Incoterm	ICT		[ICTH]ICT0=[CTRD]EECICT
CONTAINERD  	CTRD	ITMREF	 Produit	ITM		[ITM]ITM0=[CTRD]ITMREF
CONTAINERD  	CTRD	LEGCPY	 Société juridique	CPY		[CPY]CPY0=[CTRD]LEGCPY
CONTAINERD  	CTRD	LINAMT	 Montant de la ligne - taxe	MD1		
CONTAINERD  	CTRD	LINVOU	 Unité de volume	UOM		[TUN]TUN0=[CTRD]LINVOU
CONTAINERD  	CTRD	LINWEU	 Unité de poids	UOM		[TUN]TUN0=[CTRD]LINWEU
CONTAINERD  	CTRD	NETCUR	 Devise	CUR		[TCU]TCU0=[CTRD]NETCUR
CONTAINERD  	CTRD	POHNUM	 N ° de commande.	VCR		
CONTAINERD  	CTRD	POPLIN	 Doubler	L	8	
CONTAINERD  	CTRD	POQSEQ	 Numéro de séquence	L	8	
CONTAINERD  	CTRD	PUU	 Unité d'achat	UOM		[TUN]TUN0=[CTRD]PUU
CONTAINERD  	CTRD	QTYPUU	 quantité de PUR	QTY		
CONTAINERD  	CTRD	QTYSTU	 quantité de STK	QTY		
CONTAINERD  	CTRD	QTYUOM	 Quantité commandée.	QTY		
CONTAINERD  	CTRD	QTYVOU	 Volume	QTY		
CONTAINERD  	CTRD	QTYWEU	 Poids	QTY		
CONTAINERD  	CTRD	SHIPNUM	 Numéro d'expédition	VCR		
CONTAINERD  	CTRD	STU	 Unité de stock	UOM		[TUN]TUN0=[CTRD]STU
CONTAINERD  	CTRD	UOM	 Unité de commande	UOM		[TUN]TUN0=[CTRD]UOM
CONTAINERD  	CTRD	UOMPUUCOE	 Conversion STK-PUR	COE		
CONTAINERD  	CTRD	UPDDATTIM	 Date et heure	ADATIM		
CONTAINERD  	CTRD	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[CTRD]UPDUSR
CONTAINERS  	CTN	AUUID	 Identifiant unique	AUUID		
CONTAINERS  	CTN	CREDAT	 Date créée	D		
CONTAINERS  	CTN	CREDATTIM	 Date et heure	ADATIM		
CONTAINERS  	CTN	CREUSR	 Utilisateur de création	A	5	
CONTAINERS  	CTN	CTN	 Conteneurs	A	8	
CONTAINERS  	CTN	CTNCAP	 Capacité	WEI		
CONTAINERS  	CTN	CTNDES	 Description	DES		
CONTAINERS  	CTN	CTNDESAXX	 Description	AX3		
CONTAINERS  	CTN	CTNLBEFMT	 Format de l'étiquette	A	7	
CONTAINERS  	CTN	CTNMODTAR	 Tare modifiable	M	4	
CONTAINERS  	CTN	CTNMST	 Conteneur principal	M	4	
CONTAINERS  	CTN	CTNPRCTOL	 % de tolérance de tare	COE		
CONTAINERS  	CTN	CTNSAIMAN	 Saisie manuelle du poids	M	4	
CONTAINERS  	CTN	CTNSHO	 Brève description	SHO		
CONTAINERS  	CTN	CTNSHOAXX	 Brève description	AX1		
CONTAINERS  	CTN	CTNTHETAR	 Tare calculée	WEI		
CONTAINERS  	CTN	CTNTYP	 Taper	M	15	
CONTAINERS  	CTN	CTNUGD	 Guides d'utilisation	UGD		[UGD]UGD0=[CTN]CTNUGD
CONTAINERS  	CTN	CTNWEU	 Unité de poids	UOM		[TUN]TUN0=[CTN]CTNWEU
CONTAINERS  	CTN	EXPNUM	 Numéro d'exportation	L	8	
CONTAINERS  	CTN	UPDDAT	 Date de modification	D		
CONTAINERS  	CTN	UPDDATTIM	 Date et heure	ADATIM		
CONTAINERS  	CTN	UPDUSR	 Changer d'utilisateur	A	5	
CONTAMT  	CAM	AMT	 Montant	MD1		
CONTAMT  	CAM	AMTEND	 Date de fin	D		
CONTAMT  	CAM	AMTRECNUMX	 Nombre	L	8	
CONTAMT  	CAM	AMTSTR	 Date de début	D		
CONTAMT  	CAM	AUUID	 Identifiant unique	AUUID		
CONTAMT  	CAM	CONNUM	 Code du contrat	CON		[CON]CON0=[CAM]CONNUM
CONTAMT  	CAM	CREDATTIM	 Date et heure	ADATIM		
CONTAMT  	CAM	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[CAM]CREUSR
CONTAMT  	CAM	INVNUM	 Numéro de facture.	VCR		
CONTAMT  	CAM	PRONUMINV	 Numéro de processus	L	8	
CONTAMT  	CAM	UPDDATTIM	 Date et heure	ADATIM		
CONTAMT  	CAM	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[CAM]UPDUSR
CONTAMTX  	CAX	AMT	 Montant	MD1		
CONTAMTX  	CAX	AMTEND	 Date de fin	D		
CONTAMTX  	CAX	AMTRECNUMX	 Nombre	L	8	
CONTAMTX  	CAX	AMTSTR	 Date de début	D		
CONTAMTX  	CAX	AUUID	 Identifiant unique	AUUID		
CONTAMTX  	CAX	CONNUM	 Code du contrat	CON		[CON]CON0=[CAX]CONNUM
CONTAMTX  	CAX	CREDATTIM	 Date et heure	ADATIM		
CONTAMTX  	CAX	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[CAX]CREUSR
CONTAMTX  	CAX	INVNUM	 Numéro de facture.	VCR		
CONTAMTX  	CAX	PRONUM	 Numéro de processus	L	8	
CONTAMTX  	CAX	PRONUMINV	 Numéro de processus	L	8	
CONTAMTX  	CAX	UPDDATTIM	 Date et heure	ADATIM		
CONTAMTX  	CAX	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[CAX]UPDUSR
CONTCARE  	CCA	APE	 Points d'entrée	ADI		"[ADI]CODE=430;APE"
CONTCARE  	CCA	AUUID	 Identifiant unique	AUUID		
CONTCARE  	CCA	CCANUM	 Planifier chrono	VCR		
CONTCARE  	CCA	CND	 Condition	CLX		
CONTCARE  	CCA	CNDFLT	 Filtre de condition	CLX		
CONTCARE  	CCA	CNDTAB	 Tableau des conditions	A	10	
CONTCARE  	CCA	CONNUM	 Contrat/modèle. code	VCR		
CONTCARE  	CCA	CREDAT	 Date créée	D		
CONTCARE  	CCA	CREDATTIM	 Date et heure	ADATIM		
CONTCARE  	CCA	CREUSR	 Utilisateur de création	A	5	
CONTCARE  	CCA	FRY	 Récurrence	L	8	
CONTCARE  	CCA	FRYBAS	 Base de données d'expressions	M	15	
CONTCARE  	CCA	FRYTYP	 Type de périodicité	M	15	
CONTCARE  	CCA	INVTYP	 Facturation des suppléments	M	15	
CONTCARE  	CCA	LASSREDAT	 Dernière réunion	D		
CONTCARE  	CCA	SET	 Modèle requis	A	15	
CONTCARE  	CCA	TPL	 Modèle	M	4	
CONTCARE  	CCA	UPDDAT	 Date de modification	D		
CONTCARE  	CCA	UPDDATTIM	 Date et heure	ADATIM		
CONTCARE  	CCA	UPDUSR	 Changer d'utilisateur	A	5	
CONTCOV  	CCV	AUUID	 Identifiant unique	AUUID		
CONTCOV  	CCV	BPC	 Client	BPR		[BPR]BPR0=[CCV]BPC
CONTCOV  	CCV	CMT	 commentaires	DES		
CONTCOV  	CCV	CONNUM	 Code du contrat	CON		[CON]CON0=[CCV]CONNUM
CONTCOV  	CCV	CPNICDFLG	 Composants inclus	M	15	
CONTCOV  	CCV	CPNSRT	 Trier les composants	A	15	
CONTCOV  	CCV	CREDATTIM	 Date et heure	ADATIM		
CONTCOV  	CCV	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[CCV]CREUSR
CONTCOV  	CCV	EXSICDFLG	 Charges incluses	M	15	
CONTCOV  	CCV	HEIPRC	 Jusqu'à (%)	C	3	
CONTCOV  	CCV	ICDFLG	 Inclus/exclus	M	15	
CONTCOV  	CCV	ITMICDFLG	 Inclusion d'article	M	15	
CONTCOV  	CCV	LABICDFLG	 Inclure la main d'œuvre	M	15	
CONTCOV  	CCV	LNDAUZ	 Prêt autorisé	M	4	
CONTCOV  	CCV	MAXCOV	 Seuil maximum	MD1		
CONTCOV  	CCV	MINCOV	 Seuil minimum	MD1		
CONTCOV  	CCV	PAEKEY	 Clé parente	A	30	
CONTCOV  	CCV	PAEKEYTYP	 Type de clé parente	A	3	
CONTCOV  	CCV	RECNUM	 Élément couvert	A	30	
CONTCOV  	CCV	RECTYP	 Type d'enregistrement	A	3	
CONTCOV  	CCV	SBBRECTYP	 Sous-type	A	3	
CONTCOV  	CCV	TPL	 Modèle	M	4	
CONTCOV  	CCV	UPDDATTIM	 Date et heure	ADATIM		
CONTCOV  	CCV	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[CCV]UPDUSR
CONTEXT  	CNX	AUUID	 Identifiant unique	AUUID		
CONTEXT  	CNX	CCNCADPLN	 Plan d'amortissement	M	25	
CONTEXT  	CNX	CCNFLG	 Concessions gérées	M	4	
CONTEXT  	CNX	CCNGRTFLG	 Subventions gérées	M	4	
CONTEXT  	CNX	CCNGRTPLN	 Plan de subvention	M	25	
CONTEXT  	CNX	CCNINDPLN	 Plan industriel	M	25	
CONTEXT  	CNX	CCNMOD	 Mode de gestion	M	20	
CONTEXT  	CNX	CCNRPRTYP	 Type de mise à disposition	M	20	
CONTEXT  	CNX	CNX	 Contexte	M	15	
CONTEXT  	CNX	COA	 Code de carte	COA		[COA]COA0=[CNX]COA
CONTEXT  	CNX	CPY	 Entreprise	CPY		[CPY]CPY0=[CNX]CPY
CONTEXT  	CNX	CREDAT	 Date créée	D		
CONTEXT  	CNX	CREDATTIM	 Date et heure	ADATIM		
CONTEXT  	CNX	CREUSR	 Utilisateur de création	A	5	
CONTEXT  	CNX	CUR	 Devise	CUR		[TCU]TCU0=[CNX]CUR
CONTEXT  	CNX	CURTYP	 Type de taux	M	15	
CONTEXT  	CNX	FIYITSSTD	#VALEUR!	M	4	
CONTEXT  	CNX	FLGCNXUO	 Gestion de l'UO	M	4	
CONTEXT  	CNX	FLGLNKPLN	 Forfait lié	M	4	
CONTEXT  	CNX	FLGPROACC	 Affectation	M	4	
CONTEXT  	CNX	FLGSIMDET	 Détail	M	4	
CONTEXT  	CNX	FLUTRAACC	 Suivre le compte de fonds	M	4	
CONTEXT  	CNX	FLUTRATXS	 Suivre le fichier de fonds	A	5	
CONTEXT  	CNX	HRSEXE	 Horizon exercice	C	4	
CONTEXT  	CNX	HRSPER	 Horizon de période	C	4	
CONTEXT  	CNX	HRZEXE	 Horizon exercice	C	4	
CONTEXT  	CNX	HRZPER	 Horizon de période	C	4	
CONTEXT  	CNX	ISSSIMPL	#VALEUR!	M	4	
CONTEXT  	CNX	LED	 registre	LED		[LED]LED0=[CNX]LED
CONTEXT  	CNX	LEDTYP	 Type de grand livre	M		
CONTEXT  	CNX	LNKPLN	 Forfait lié	M	25	
CONTEXT  	CNX	LSTCLOFAS	 Dernier actif clôturé	FAS		[FAS]FAS0=[CNX]LSTCLOFAS
CONTEXT  	CNX	NBPLC	 Numéro de régime	C	4	
CONTEXT  	CNX	ORIBASDPR	 Source de base de dépréciation	M	15	
CONTEXT  	CNX	PLNCAA	 Plan d'amortissement	M	25	
CONTEXT  	CNX	PLNSTD	 Standard	M	4	
CONTEXT  	CNX	PROWEK	 Au prorata par semaine	M	4	
CONTEXT  	CNX	RATPIOCAA	#VALEUR!	M	15	
CONTEXT  	CNX	UPDDAT	 Date de modification	D		
CONTEXT  	CNX	UPDDATTIM	 Date et heure	ADATIM		
CONTEXT  	CNX	UPDUSR	 Changer d'utilisateur	A	5	
CONTEXT  	CNX	UPDWAIBCO	 Nombre de biens à modifier	L	8	
CONTEXT  	CNX	UPDWAINBR	 Nombre de modifications	C	4	
CONTEXT  	CNX	UPDWAIPAR	 Paramètre modifié	A	10	
CONTEXT  	CNX	UPDWAITYP	 Type de modification	A	10	
CONTIDX  	CIX	AUUID	 Identifiant unique	AUUID		
CONTIDX  	CIX	CREDATTIM	 Date et heure	ADATIM		
CONTIDX  	CIX	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[CIX]CREUSR
CONTIDX  	CIX	IND	 Indice	ADI		"[ADI]CODE=410;IND"
CONTIDX  	CIX	INDDAT	 Date	D		
CONTIDX  	CIX	INDVAL	 Valeur	DCB	9,2	
CONTIDX  	CIX	UPDDATTIM	 Date et heure	ADATIM		
CONTIDX  	CIX	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[CIX]UPDUSR
CONTITM  	CIT	AUUID	 Identifiant unique	AUUID		
CONTITM  	CIT	CONMACCOD	 Groupe/produit/base	A	20	
CONTITM  	CIT	CONMACNUM	 Numéro de base	A	15	
CONTITM  	CIT	CONNUM	 Code du contrat	CON		[CON]CON0=[CIT]CONNUM
CONTITM  	CIT	COVTYP	 Type de couverture	M	15	
CONTITM  	CIT	CREDATTIM	 Date et heure	ADATIM		
CONTITM  	CIT	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[CIT]CREUSR
CONTITM  	CIT	TPL	 Modèle	M	4	
CONTITM  	CIT	UPDDATTIM	 Date et heure	ADATIM		
CONTITM  	CIT	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[CIT]UPDUSR
CONTPBL  	CPL	AUUID	 Identifiant unique	AUUID		
CONTPBL  	CPL	CONNUM	 Code du contrat	CON		[CON]CON0=[CPL]CONNUM
CONTPBL  	CPL	CREDATTIM	 Date et heure	ADATIM		
CONTPBL  	CPL	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[CPL]CREUSR
CONTPBL  	CPL	PBLGRPCOV	 Groupes de compétences	PBL		[PBL]PBL0=[CPL]PBLGRPCOV
CONTPBL  	CPL	TPL	 Modèle	M	4	
CONTPBL  	CPL	UPDDATTIM	 Date et heure	ADATIM		
CONTPBL  	CPL	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[CPL]UPDUSR
CONTQUAL  	CQL	AMTPLY	 Montant de la pénalité	MD1		
CONTQUAL  	CQL	AUUID	 Identifiant unique	AUUID		
CONTQUAL  	CQL	BASEXXAMT	 Base de données d'expressions	M	15	
CONTQUAL  	CQL	BASEXXITT	 Base de données d'expressions	M	15	
CONTQUAL  	CQL	BASEXXSOL	 Base de données d'expressions	M	15	
CONTQUAL  	CQL	CONNUM	 Contrat/modèle. code	VCR		
CONTQUAL  	CQL	CREDATTIM	 Date et heure	ADATIM		
CONTQUAL  	CQL	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[CQL]CREUSR
CONTQUAL  	CQL	GRALEV	 Degré de gravité	ADI		"[ADI]CODE=428;GRALEV"
CONTQUAL  	CQL	ITTDATEND	 Fin de l'intervention	D		
CONTQUAL  	CQL	ITTDUR	 Durée	C	4	
CONTQUAL  	CQL	ITTDURBAS	 Base de données d'expressions	M	15	
CONTQUAL  	CQL	ITTFCY	 Intervention/site	M	4	
CONTQUAL  	CQL	ITTLTIMAX	 Intervn max LT	C	4	
CONTQUAL  	CQL	OTHCNI	 Autres contraintes	CLX		
CONTQUAL  	CQL	SOLLTIMAX	 RSLTN MAX LT	C	4	
CONTQUAL  	CQL	TPL	 Modèle	M	4	
CONTQUAL  	CQL	UPDDATTIM	 Date et heure	ADATIM		
CONTQUAL  	CQL	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[CQL]UPDUSR
CONTREW  	CRE	AUUID	 Identifiant unique	AUUID		
CONTREW  	CRE	CONNUM	 Code du contrat	CON		[CON]CON0=[CRE]CONNUM
CONTREW  	CRE	CREDAT	 Date créée	D		
CONTREW  	CRE	CREDATTIM	 Date et heure	ADATIM		
CONTREW  	CRE	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[CRE]CREUSR
CONTREW  	CRE	INVNUM	 Numéro de facture.	VCR		
CONTREW  	CRE	PRONUMINV	 Numéro de processus	L	8	
CONTREW  	CRE	REWEND	 Fin	D		
CONTREW  	CRE	REWMAN	 Renouvellement manuel.	C	2	
CONTREW  	CRE	REWRECNUMX	 Nombre	L	8	
CONTREW  	CRE	REWSTR	 Commencer	D		
CONTREW  	CRE	UPDDATTIM	 Date et heure	ADATIM		
CONTREW  	CRE	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[CRE]UPDUSR
CONTREWX  	CRX	AUUID	 Identifiant unique	AUUID		
CONTREWX  	CRX	CONNUM	 Code du contrat	CON		[CON]CON0=[CRX]CONNUM
CONTREWX  	CRX	CREDAT	 Date créée	D		
CONTREWX  	CRX	CREDATTIM	 Date et heure	ADATIM		
CONTREWX  	CRX	CREUSR	 Utilisateur	AUS		[AUS]CODUSR=[CRX]CREUSR
CONTREWX  	CRX	INVNUM	 Numéro de facture.	VCR		
CONTREWX  	CRX	PRONUM	 Numéro de processus	L	8	
CONTREWX  	CRX	PRONUMINV	 Numéro de processus	L	8	
CONTREWX  	CRX	REWEND	 Fin	D		
CONTREWX  	CRX	REWMAN	 Renouvellement manuel.	C	2	
CONTREWX  	CRX	REWRECNUMX	 Nombre	L	8	
CONTREWX  	CRX	REWSTR	 Commencer	D		
CONTREWX  	CRX	UPDDATTIM	 Date et heure	ADATIM		
CONTREWX  	CRX	UPDUSR	 Utilisateur	AUS		[AUS]CODUSR=[CRX]UPDUSR
CONTSERV  	CON	ACPDPTCOD	 Litige accepté	ADI		"[ADI]CODE=315;ACPDPTCOD"
CONTSERV  	CON	AMTPLY	 Montant de la pénalité	MD1		
CONTSERV  	CON	AMTPLYX	 Montant de la pénalité	MD1		
CONTSERV  	CON	AUUID	 Identifiant unique	AUUID		
CONTSERV  	CON	BASEXXAMT	 Base de données d'expressions	M	15	
CONTSERV  	CON	BASEXXAMTX	 Base de données d'expressions	M	15	
CONTSERV  	CON	BASEXXITT	 Base de données d'expressions	M	15	
CONTSERV  	CON	BASEXXITTX	 Base de données d'expressions	M	15	
CONTSERV  	CON	BASEXXSOL	 Base de données d'expressions	M	15	
CONTSERV  	CON	BASEXXSOLX	 Base de données d'expressions	M	15	
CONTSERV  	CON	CCE	 Dimension analytique	CCE		"[CCE]CCE0=DIE(indice);CCE(indice)"
CONTSERV  	CON	CONAMT	 Montant	MD1		
CONTSERV  	CON	CONBASFOR	 Formule de réévaluation	ADI		"[ADI]CODE=427;CONBASFOR"
CONTSERV  	CON	CONBASIDX	 Base de données d'indexation	ADI		"[ADI]CODE=410;CONBASIDX"
CONTSERV  	CON	CONBPC	 Vendu à	BPR		[BPR]BPR0=[CON]CONBPC
CONTSERV  	CON	CONBPCGRU	 Client du groupe	BPR		[BPR]BPR0=[CON]CONBPCGRU
CONTSERV  	CON	CONBPCINV	 Client facturé	BPR		[BPR]BPR0=[CON]CONBPCINV
CONTSERV  	CON	CONBPCPYR	 Payer par	BPR		[BPR]BPR0=[CON]CONBPCPYR
CONTSERV  	CON	CONCAT	 Catégorie	M	15	
CONTSERV  	CON	CONCCN	 Contact (relation)	AIN		[AIN]AIN0=[CON]CONCCN
CONTSERV  	CON	CONCHGTYP	 Type de taux	M	15	
CONTSERV  	CON	CONCOT	 Modèle de contrat	VCR		
CONTSERV  	CON	CONENDDAT	 Date de fin	D		
CONTSERV  	CON	CONNAM	 Description	A	85	
CONTSERV  	CON	CONNUM	 Code	VCR		
CONTSERV  	CON	CONORI	 Source	M	15	
CONTSERV  	CON	CONORIVCR	 Document original n°	VCR		
CONTSERV  	CON	CONORIVCRL	 Ligne du document source	L	8	
CONTSERV  	CON	CONPJT	 Projet	PJT		[PIM]PIM0=[CON]CONPJT
CONTSERV  	CON	CONPRITYP	 Type de prix	M	6	
CONTSERV  	CON	CONREW	 Renouvelable	M	4	
CONTSERV  	CON	CONSTRDAT	 Date de début	D		
CONTSERV  	CON	CONTYP	 Groupe statistique	ADI		"[ADI]CODE=indice+440;CONTYP(indice)"
CONTSERV  	CON	CONTYPCLA	 Catégorie	DES		
CONTSERV  	CON	CONVACBPR	 Règle fiscale	TVB		"[TVB]TVB0=CONVACBPR;[V]GSUPCLE"
CONTSERV  	CON	CPY	 Entreprise	CPY		[CPY]CPY0=[CON]CPY
CONTSERV  	CON	CREDAT	 Date créée	D		
CONTSERV  	CON	CREDATTIM	 Date et heure	ADATIM		
CONTSERV  	CON	CREUSR	 Utilisateur de création	A	5	
CONTSERV  	CON	CRSCOVSAM	 Couverture consultée	M	4	
CONTSERV  	CON	CUR	 Devise	CUR		[TCU]TCU0=[CON]CUR
CONTSERV  	CON	DIE	 Code du type de dimension	DIE		[DIE]DIE0=[CON]DIE
CONTSERV  	CON	DSYWND	 Afficher la liste de gauche	C	2	
CONTSERV  	CON	EVRMAC	 Tous les produits	M	4	
CONTSERV  	CON	EVRPBL	 Toutes les compétences	M	4	
CONTSERV  	CON	FDDFLG	 Archivé	M	4	
CONTSERV  	CON	FDDUSR	 Archivé par	A	5	
CONTSERV  	CON	GUA	 garantie	M	4	
CONTSERV  	CON	INVDTA	 Elément de facturation	SFI		[SFI]SFI0=[CON]INVDTA
CONTSERV  	CON	INVDTAAMT	 % ou montant de l'investissement	DCB	11,4	
CONTSERV  	CON	INVDTATYP	 Type de valeur	M	6	
CONTSERV  	CON	INVFRY	 Fréquence de facturation	C	4	
CONTSERV  	CON	INVFRYBAS	 Base	M	15	
CONTSERV  	CON	INVFRYCOE	 Coefficient	DCB	3,2	
CONTSERV  	CON	INVLTI	 Préavis de facturation	C	4	
CONTSERV  	CON	INVLTIBAS	 Base	M	15	
CONTSERV  	CON	INVMET	 Mode de facturation	M	15	
CONTSERV  	CON	ITMREF	 Code produit	ITM		[ITM]ITM0=[CON]ITMREF
CONTSERV  	CON	ITTDATEND	 Fin de l'intervention	D		
CONTSERV  	CON	ITTDATENDX	 Fin de l'intervention	D		
CONTSERV  	CON	ITTDUR	 Durée	C	4	
CONTSERV  	CON	ITTDURBAS	 Base de données d'expressions	M	15	
CONTSERV  	CON	ITTDURBASX	 Base de données d'expressions	M	15	
CONTSERV  	CON	ITTDURX	 Durée B	C	4	
CONTSERV  	CON	ITTFCY	 Intervention/site	M	4	
CONTSERV  	CON	ITTFCYX	 Intervention/site	M	4	
CONTSERV  	CON	ITTLTIMAX	 Intervn max LT	C	4	
CONTSERV  	CON	ITTLTIMAXX	 Intervn max LT	C	4	
CONTSERV  	CON	LASIDXDAT	 Date de la dernière valeur	D		
CONTSERV  	CON	LASINVDAT	 Dernière facture	D		
CONTSERV  	CON	LASVALIDX	 Dernière valeur d'indice	MD1		
CONTSERV  	CON	MANCONENDDAT	 Date de fin	D		
CONTSERV  	CON	MANCONREW	 Renouvelable	M	4	
CONTSERV  	CON	MANCONSTRDAT	 Date de début	D		
CONTSERV  	CON	MANREWAMT	 Montant de renouvellement	MD1		
CONTSERV  	CON	MANREWFLG	 Renouveller	M	4	
CONTSERV  	CON	MANREWFRY	 Fréquence de renouvellement	C	4	
CONTSERV  	CON	MANREWFRYBAS	 Base	M	15	
CONTSERV  	CON	NEXINVAMT	 Montant de la prochaine facture	MD1		
CONTSERV  	CON	NEXINVDAT	 Facture suivante	D		
CONTSERV  	CON	NEXSHIINV	 Prochain envoi de facture	D		
CONTSERV  	CON	OCONAMT	 Montant	MD1		
CONTSERV  	CON	OCONENDDAT	 Date de fin	D		
CONTSERV  	CON	OCONSTRDAT	 Date de début	D		
CONTSERV  	CON	ODSYWND	 Ancienne liste de gauche	C	2	
CONTSERV  	CON	OINV	 Facture	SIH		[SIV]SIV0=[CON]OINV
CONTSERV  	CON	OLASIDXDAT	 Date de la dernière valeur	D		
CONTSERV  	CON	OLASINVDAT	 Dernière facture précédente	D		
CONTSERV  	CON	OLASVALIDX	 Dernière valeur d'indice	MD1		
CONTSERV  	CON	ONEXINVAMT	 Ancien montant	MD1		
CONTSERV  	CON	ONEXINVDAT	 Ancienne prochaine facture	D		
CONTSERV  	CON	ONEXSHIINV	 Ancien prochain envoi	D		
CONTSERV  	CON	ORDLINNUM	 Numéro de ligne de commande	L	8	
CONTSERV  	CON	ORDNUM	 Numéro de commande	SOH		[SOH]SOH0=[CON]ORDNUM
CONTSERV  	CON	ORDUPDFLG	 N ° de commande. modification	M	4	
CONTSERV  	CON	OREWINV	 Facture	SIH		[SIV]SIV0=[CON]OREWINV
CONTSERV  	CON	ORVADAT	 Date de réévaluation	D		
CONTSERV  	CON	ORVAINV	 Facture	SIH		[SIV]SIV0=[CON]ORVAINV
CONTSERV  	CON	OTHCNI	 Autres contraintes	CLX		
CONTSERV  	CON	PITBLC	 Points restants	L	8	
CONTSERV  	CON	PITCDT	 Crédit de points	L	8	
CONTSERV  	CON	PITCSM	 Points consommés	L	8	
CONTSERV  	CON	PITRER	 Points disponibles	L	8	
CONTSERV  	CON	PITTOL	 Tolérance de points	C	3	
CONTSERV  	CON	PTE	 Modalités de paiement	PTE		"[TPT]TPT0=PTE;[V]GCURLEG;1"
CONTSERV  	CON	REWFRY	 Fréquence de renouvellement	C	4	
CONTSERV  	CON	REWFRYBAS	 Base	M	15	
CONTSERV  	CON	RSIDAT	 Date de résiliation	D		
CONTSERV  	CON	RSIFLG	 Contrat annulé	M	4	
